Species,WORKED,Loo,K,Winfinity,tmax,tm,M,Lm,Temperature,ln_var,rho,ln_MASPS,ln_margsd,h,logitbound_h,ln_Fmsy_over_M,ln_Fmsy,ln_r,r,ln_G,G
Myxine_glutinosa,TRUE,4.591857129,-1.980489619,8.804697281,2.951777926,1.883427232,-1.479418878,4.053734044,12.73449951,-2.580549114,0.596280077,-0.491182555,-0.812978626,0.552172362,-0.394420025,-0.097052713,-1.546933815,-2.398253349,0.243475863,2.502734504,17.62781151
Mustelus_canis,TRUE,4.813398087,-1.914887458,8.96981284,2.814907054,1.876838549,-1.504268242,4.359906427,12.54550518,-2.503110111,0.481212386,-2.058105345,-1.032745934,0.344445536,-2.068743021,-1.358174545,-2.863077564,-3.419088685,0.059452832,2.531514727,12.97844225
Squalus_acanthias,TRUE,4.764975564,-2.537691137,8.530721199,3.200159897,2.564536163,-2.074413825,4.312931398,9.743743681,-3.626019201,0.704240797,-2.519942534,-1.339768562,0.358575698,-2.033054973,-1.34720889,-3.413299084,-3.967743244,0.036332769,3.125607224,23.00901341
Dipturus_laevis,TRUE,5.081650205,-2.108572166,9.754812745,2.625944803,1.989363734,-1.435103332,4.507907101,15.59424883,-3.662469252,0.686564971,-1.230539974,-1.365304354,0.444695614,-1.312097838,-0.778893684,-2.209929916,-2.9532379,0.107441299,2.54323623,13.14159028
Leucoraja_ocellata,TRUE,4.649064626,-2.028942175,8.522233778,2.84258716,2.138649231,-1.551266651,4.204697419,13.16042635,-3.085630897,0.626125028,-1.463168288,-1.173453816,0.429010091,-1.387822661,-0.816776862,-2.370171004,-3.072023732,0.087207541,2.640355414,14.36547431
Raja_eglanteria,TRUE,4.431370473,-1.723290984,7.896121156,2.667633723,1.847527792,-1.244600115,4.0667622,12.3720975,-2.288815194,0.468078068,-1.508236135,-0.951822,0.392624812,-1.747246004,-1.116346918,-2.355814941,-3.040064566,0.099293295,2.338712819,10.81900319
Leucoraja_garmani,TRUE,4.404041979,-1.824179909,7.782919131,2.709877336,1.975104716,-1.390689226,4.002552373,12.98174472,-2.74826583,0.562196436,-1.319591912,-1.05632944,0.432316587,-1.357823296,-0.792710367,-2.142061009,-2.862295031,0.117613203,2.421728621,12.4749698
Leucoraja_erinacea,TRUE,4.06156887,-1.493065073,6.757703382,2.448790625,1.688200412,-1.082451125,3.695871087,14.49468499,-2.429174215,0.497394355,-0.957259926,-0.994362896,0.432396598,-1.302209396,-0.732805369,-1.822294388,-2.55354387,0.135791089,2.162010488,8.893550356
Malacoraja_senta,TRUE,4.250150684,-2.044826351,7.364083623,2.864562994,2.417772469,-1.514782029,3.892023967,12.9019774,-3.387342644,0.730206258,-0.910352107,-1.173721789,0.492014954,-0.90561992,-0.457475023,-1.968369201,-2.841956245,0.11405957,2.688606268,15.05629372
Amblyraja_radiata,TRUE,4.463329828,-2.185589227,8.001146946,2.868488607,2.099030404,-1.609921169,3.927042557,12.22479557,-3.418794347,0.708717551,-0.79868061,-1.22136155,0.509578096,-0.703508357,-0.285151922,-1.892419175,-2.667799747,0.12080942,2.684327133,15.0041518
Clupea_harengus,TRUE,3.413598395,-1.088074775,5.268529011,2.523831799,1.600516019,-1.407727611,3.245674422,8.270481586,-0.914275821,0.318222425,-0.014322202,-0.398888215,0.578538616,-0.109232033,0.290816347,-1.1158644,-1.665613714,0.190950709,2.235369375,9.364061296
Alosa_pseudoharengus,TRUE,2.937099961,-0.697213676,4.562237099,1.496002045,0.667220368,-0.077988362,2.329229339,20.06784345,-2.639842913,0.719355095,5.362733804,-0.89569971,0.985853557,4.268141802,2.882263117,2.799993822,0.581925317,1.824953001,1.191308297,3.362243038
Alosa_aestivalis,TRUE,3.492118148,-0.967946004,6.049049317,1.990781851,1.037915855,-0.536133527,2.938105414,18.82811765,-2.397773691,0.6426207,3.301295985,-0.838178443,0.910037943,2.489722101,1.900799898,1.335506235,-0.191678489,0.929712321,1.618607276,5.547160834
Merluccius_albidus,TRUE,3.835013001,-0.887536753,6.349178079,1.885029383,0.440630274,-0.276241045,3.173565068,17.92676188,-1.803526224,0.35660529,0.757996832,-0.82396923,0.570213957,-0.174526138,0.209044625,-0.070143524,-1.004791248,0.420977111,1.299913797,3.757305284
