"","Species","Region","Time","Value","Metric","Description","Units","AssessmentYear","max_year","facet","Var","Val","n_data_points","pval","sig"
"1","Acadian redfish","Gulf of Maine / Georges Bank",1979,14748,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","hcly spring
m^2/sec^2",92.0333333333333,38,0.400192301909361,FALSE
"2","Acadian redfish","Gulf of Maine / Georges Bank",1979,14748,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","tke spring
J/kg",0.356,38,0.796155131451912,FALSE
"3","Acadian redfish","Gulf of Maine / Georges Bank",1979,14748,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","total wind speed spring
J/kg",1.4115373073332,38,0.249057076551997,FALSE
"4","Acadian redfish","Gulf of Maine / Georges Bank",1979,14748,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","uwnd spring
J/kg",0.805,38,0.251241024398125,FALSE
"5","Acadian redfish","Gulf of Maine / Georges Bank",1979,14748,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","vwnd spring
J/kg",0.748333333333333,38,0.826213762341593,FALSE
"6","Acadian redfish","Gulf of Maine / Georges Bank",1980,9897,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","hcly spring
m^2/sec^2",102.033333333333,38,0.400192301909361,FALSE
"7","Acadian redfish","Gulf of Maine / Georges Bank",1980,9897,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","tke spring
J/kg",0.297333333333333,38,0.796155131451912,FALSE
"8","Acadian redfish","Gulf of Maine / Georges Bank",1980,9897,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","total wind speed spring
J/kg",1.40569085388111,38,0.249057076551997,FALSE
"9","Acadian redfish","Gulf of Maine / Georges Bank",1980,9897,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","uwnd spring
J/kg",0.984666666666667,38,0.251241024398125,FALSE
"10","Acadian redfish","Gulf of Maine / Georges Bank",1980,9897,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","vwnd spring
J/kg",0.771333333333333,38,0.826213762341593,FALSE
"11","Acadian redfish","Gulf of Maine / Georges Bank",1981,7920,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","hcly spring
m^2/sec^2",100.266666666667,38,0.400192301909361,FALSE
"12","Acadian redfish","Gulf of Maine / Georges Bank",1981,7920,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","tke spring
J/kg",0.438333333333333,38,0.796155131451912,FALSE
"13","Acadian redfish","Gulf of Maine / Georges Bank",1981,7920,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","total wind speed spring
J/kg",2.46005047918538,38,0.249057076551997,FALSE
"14","Acadian redfish","Gulf of Maine / Georges Bank",1981,7920,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","uwnd spring
J/kg",2.20333333333333,38,0.251241024398125,FALSE
"15","Acadian redfish","Gulf of Maine / Georges Bank",1981,7920,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","vwnd spring
J/kg",0.804666666666667,38,0.826213762341593,FALSE
"16","Acadian redfish","Gulf of Maine / Georges Bank",1982,6907,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","hcly spring
m^2/sec^2",95.5333333333333,38,0.400192301909361,FALSE
"17","Acadian redfish","Gulf of Maine / Georges Bank",1982,6907,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","tke spring
J/kg",0.514,38,0.796155131451912,FALSE
"18","Acadian redfish","Gulf of Maine / Georges Bank",1982,6907,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","total wind speed spring
J/kg",2.15028485363133,38,0.249057076551997,FALSE
"19","Acadian redfish","Gulf of Maine / Georges Bank",1982,6907,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","uwnd spring
J/kg",1.687,38,0.251241024398125,FALSE
"20","Acadian redfish","Gulf of Maine / Georges Bank",1982,6907,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","vwnd spring
J/kg",-0.128333333333333,38,0.826213762341593,FALSE
"21","Acadian redfish","Gulf of Maine / Georges Bank",1983,5330,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","hcly spring
m^2/sec^2",93.5,38,0.400192301909361,FALSE
"22","Acadian redfish","Gulf of Maine / Georges Bank",1983,5330,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","tke spring
J/kg",0.352666666666667,38,0.796155131451912,FALSE
"23","Acadian redfish","Gulf of Maine / Georges Bank",1983,5330,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","total wind speed spring
J/kg",1.7302093161881,38,0.249057076551997,FALSE
"24","Acadian redfish","Gulf of Maine / Georges Bank",1983,5330,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","uwnd spring
J/kg",1.038,38,0.251241024398125,FALSE
"25","Acadian redfish","Gulf of Maine / Georges Bank",1983,5330,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","vwnd spring
J/kg",1.16766666666667,38,0.826213762341593,FALSE
"26","Acadian redfish","Gulf of Maine / Georges Bank",1984,4793,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","hcly spring
m^2/sec^2",90.2666666666667,38,0.400192301909361,FALSE
