"Species","Region","Indicator","category","Year","Value","rank","n_stocks_per_indicator","n_stocks_per_region","norm_rank","total_risk","overall_rank","overall_stocks","stock","label"
"Black sea bass","Mid-Atlantic","bbmsy","Population","2006-2010 mean",0.99299999078115,11,34,2,0.323529411764706,9.35270311504555,41,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.35"
"Black sea bass","Mid-Atlantic","bbmsy","Population","2007-2011 mean",1.02249997854233,10,38,2,0.263157894736842,9.73864104254142,43,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.74"
"Black sea bass","Mid-Atlantic","bbmsy","Population","2008-2012 mean",1.02279999256134,10,38,2,0.263157894736842,9.58186808907496,43,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.58"
"Black sea bass","Mid-Atlantic","bbmsy","Population","2009-2013 mean",1.02279999256134,14,38,2,0.368421052631579,9.77393788387,46,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.77"
"Black sea bass","Mid-Atlantic","bbmsy","Population","2010-2014 mean",1.05666665236155,16,39,2,0.41025641025641,9.50596420918626,45,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.51"
"Black sea bass","Mid-Atlantic","bbmsy","Population","2011-2015 mean",1.06749999523163,16,39,2,0.41025641025641,9.62703516721374,45,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.63"
"Black sea bass","Mid-Atlantic","bbmsy","Population","2012-2016 mean",1.02400004863739,18,39,2,0.461538461538462,9.54776681651682,44,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.55"
"Black sea bass","Mid-Atlantic","bbmsy","Population","2013-2017 mean",2.29399991035461,3,36,2,0.0833333333333333,9.36807745825603,40,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.37"
"Black sea bass","Mid-Atlantic","bbmsy","Population","2014-2018 mean",2.29399991035461,3,34,2,0.0882352941176471,9.43916879801774,41,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.44"
"Black sea bass","Mid-Atlantic","bbmsy","Population","2015-2019 mean",2.33249998092651,4,34,2,0.117647058823529,8.79975820047111,42,53,"Black sea bass - Mid-Atlantic","Black sea bass, 8.8"
"Black sea bass","Mid-Atlantic","ffmsy","Socioeconomic","2006-2010 mean",0.833333333333333,12,27,2,0.444444444444444,9.35270311504555,41,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.35"
"Black sea bass","Mid-Atlantic","ffmsy","Socioeconomic","2007-2011 mean",0.869000002741814,20,32,2,0.625,9.73864104254142,43,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.74"
"Black sea bass","Mid-Atlantic","ffmsy","Socioeconomic","2008-2012 mean",0.790600001811981,19,32,2,0.59375,9.58186808907496,43,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.58"
"Black sea bass","Mid-Atlantic","ffmsy","Socioeconomic","2009-2013 mean",0.790600001811981,26,34,2,0.764705882352941,9.77393788387,46,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.77"
"Black sea bass","Mid-Atlantic","ffmsy","Socioeconomic","2010-2014 mean",0.714333335558573,25,35,2,0.714285714285714,9.50596420918626,45,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.51"
"Black sea bass","Mid-Atlantic","ffmsy","Socioeconomic","2011-2015 mean",0.726500004529953,24,35,2,0.685714285714286,9.62703516721374,45,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.63"
"Black sea bass","Mid-Atlantic","ffmsy","Socioeconomic","2012-2016 mean",0.476999998092651,14,35,2,0.4,9.54776681651682,44,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.55"
"Black sea bass","Mid-Atlantic","ffmsy","Socioeconomic","2013-2017 mean",0.75,22,33,2,0.666666666666667,9.36807745825603,40,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.37"
"Black sea bass","Mid-Atlantic","ffmsy","Socioeconomic","2014-2018 mean",0.75,18,31,2,0.580645161290323,9.43916879801774,41,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.44"
"Black sea bass","Mid-Atlantic","ffmsy","Socioeconomic","2015-2019 mean",0.831499993801117,22,31,2,0.709677419354839,8.79975820047111,42,53,"Black sea bass - Mid-Atlantic","Black sea bass, 8.8"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1933-1937 mean",NA,NA,NA,2,NA,0.5,3,53,"Black sea bass - Mid-Atlantic","Black sea bass, 0.5"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1934-1938 mean",NA,NA,NA,2,NA,0.5,3,53,"Black sea bass - Mid-Atlantic","Black sea bass, 0.5"
