PreySpecies,COMMON,LATIN,Frequency,SumOfWeight,PercentSumOfWeight
0594,unidentified mud crab,Xanthidae,65,18.157,12.88151
0574,unidentified mysid,Mysidae,60,3.890,2.75993
0708,unidentified material,unidentified material,38,3.943,2.79711
0699,mysid,Neomysis americana,35,1.590,1.12822
0841,unidentified amphipod,Amphipoda spp.,32,0.364,0.25788
0601,eastern tube crab,Polyonyx gibbesi,30,3.784,2.68445
0604,sand shrimp,Crangon septemspinosa,29,4.026,2.85620
0103,bay anchovy,Anchoa mitchilli,20,11.469,8.13671
5000,unidentified fish,Actinopterygii,19,6.715,4.76360
0694,amphipod (Gammarus spp.),Gammarus spp.,17,0.222,0.15771
0775,unidentified polychaete,Polychaeta,15,2.048,1.45315
5018,pea crab (Pinnixa retinens),Pinnixa retinens,15,1.506,1.06842
0703,unidentified hydroid,Cnidaria,15,0.469,0.33259
1113,crustacean parts,Crustacea (parts),14,0.593,0.42041
0673,unidentified crustacean,Crustacea,13,1.276,0.90503
5012,crab parts,crab parts,13,2.575,1.82688
0579,Erichthonius brasiliensis,Erichthonius brasiliensis,12,0.396,0.28073
0510,clam worm (Nereididae),Nerdididae,12,0.808,0.57344
0671,amphipod (Corophium spp.),Corophium spp.,12,0.074,0.05271
5943,estuarine mud crab,Rhithropanopeus harrisii,11,0.854,0.60586
5006,vegetation,Plantae,11,0.109,0.07719
0981,isopod (Synidotea laevidorsalis),Synidotea laevidorsalis,10,1.060,0.75215
5001,unidentified shrimp,Decapoda,10,2.258,1.60163
5035,unidentified crab,Decapoda,10,0.671,0.47568
0758,unidentified right-hand hermit crab,Pagurus spp.,10,3.117,2.21147
0552,smooth mud crab,Hexapanopeus angustifrons,9,2.343,1.66250
0620,grass shrimp,Palaemonetes spp.,9,0.930,0.65964
0658,skeleton shrimp (Caprellidae),Caprellidae spp,8,0.247,0.17523
5032,animal tubes,animal tubes,8,0.127,0.09003
0755,unidentified brittle stars,Ophiuroidea,7,0.847,0.60090
0667,trumpet worm,Pectinaria gouldii,7,1.675,1.18852
0281,unidentified gobies,Gobiidae,6,0.451,0.31982
5020,mound back isopod,Edotia triloba,6,0.012,0.00851
7581,long-clawed hermit crab,Pagurus longicarpus,6,3.159,2.24112
0920,brittle star,Amphioplus abdita,5,0.196,0.13870
0697,unidentified bloodworm,Glycera spp.,5,0.214,0.15161
0614,"blue crab, sex unknown",Callinectes sapidus,5,2.618,1.85760
0507,common burrower amphipod,Leptocheirus plumulosus,5,0.282,0.20006
0824,sea squirts (Molgula spp.),Molgula spp.,5,0.248,0.17559
0129,lined seahorse,Hippocampus erectus,4,2.296,1.62887
0657,unidentified isopod,Isopoda spp.,4,0.323,0.22943
0709,unidentified mollusc meat,Mollusca,4,0.961,0.68177
0738,red-eyed amphipod,Monoculodes edwardsi,4,0.022,0.01561
0529,fish scales,fish scales,4,0.025,0.01774
0156,unidentified pipefishes,Syngnathus spp.,4,0.446,0.31648
5942,Atlantic mud crab,Panopeus herbstii,3,0.415,0.29442
6142,"blue crab, juvenile female","Callinectes sapidus, juv fem",3,1.009,0.71554
0621,mantis shrimp,Squilla empusa,3,3.939,2.79455
5028,barrel bubble,Acteocina canaliculata,3,0.013,0.00936
6141,"blue crab, male","Callinectes sapidus, male",3,3.331,2.36293
0995,unidentified animal,unidentified animal,3,0.640,0.45404
0648,sessile tunicates,Ascidiacea,3,0.067,0.04753
0827,peppermint shrimp,Lysmata wurdemanni,3,1.380,0.97903
5014,burrowing brittle star,Microphiopholis atra,3,0.363,0.25753
5007,sea squirt (Molgula manhattensis),Molgula manhattensis,3,0.235,0.16651
5941,flatback mud crab,Eurypanopeus depressus,3,1.721,1.22095
0595,roughneck shrimp,Rimapenaeus constrictus,2,1.040,0.73782
0005,Atlantic croaker,Micropogonias undulatus,2,5.071,3.59757
5039,unidentified clam,Bivalvia,2,2.145,1.52175
5026,unidentified spider crab,Libinia spp.,2,1.146,0.81330
0656,Atlantic rock crab,Cancer irroratus,2,0.876,0.62147
5016,unidentified rock crab,Cancer spp.,2,0.914,0.64843
5944,Say mud crab,Dyspanopeus sayi,2,2.337,1.65796
0636,four-eyed amphipods (Ampelisca spp.),Ampelisca spp.,2,0.033,0.02341
0624,olivepit porcelain crab,Euceramus praelongus,2,0.054,0.03803
0921,skeleton shrimp (Caprella penantis),Caprella penantis,2,0.100,0.07073
7582,flat-clawed hermit crab,Pagurus pollicaris,2,4.212,2.98816
0884,unidentified drill or snail,Gastropoda,2,0.012,0.00866
0892,worm tubes,worm tubes,2,0.289,0.20503
1003,common grass shrimp,Palaemonetes vulgaris,2,1.011,0.71724
0543,amphipod (Jassa falcata),Jassa falcata,2,0.015,0.01064
0548,unidentified sponge,Porifera,2,0.476,0.33741
1092,larval fish,Actinopterygii (larval),2,1.287,0.91305
1097,Nothria worms,Nothria,2,0.204,0.14473
0131,northern pipefish,Syngnathus fuscus,1,0.211,0.14962
0590,flat-browed mud shrimp,Upogebia affinis,1,1.417,1.00513
0498,unidentified bivalve,Bivalvia,1,0.086,0.06122
0070,spotted hake,Urophycis regia,1,4.136,2.93424
0500,short-browed mud shrimp,Gilvossius setimanus,1,0.946,0.67113
0547,tube pea crab,Pinnixa chaetopterana,1,0.131,0.09294
0013,kingfish (Menticirrhus spp.),Menticirrhus spp.,1,0.404,0.28633
0153,skilletfish,Gobiesox strumosus,1,0.650,0.46114
0017,Loligo squid,Loligo spp.,1,1.607,1.14007
0508,isopod,Ancinus depressus,1,0.020,0.01419
0558,arks,Anadara spp.,1,0.002,0.00156
0861,crabs - Callinectes spp.,Callinectes spp.,1,0.496,0.35188
5037,sand,sand,1,0.214,0.15182
5033,unidentified meat,unidentified meat,1,0.050,0.03547
5030,corn,Zea spp.,1,0.482,0.34195
5021,slender tube builder,Corophium lacustre,1,0.036,0.02554
5019,spined back scud,Gammarus mucronatus,1,0.027,0.01915
5015,interrupted turbonilla,Turbonilla interrupta,1,0.001,0.00071
1114,bryozoans,Ectoprocta,1,0.086,0.06101
1058,unidentified snapping shrimps,Alpheidae,1,0.203,0.14423
1053,unidentified mussel,Mytilidae,1,0.086,0.06101
0942,isopod (Cymothoa),Cymothoa,1,0.001,0.00071
0925,Erichsonella attenuata,Erichsonella attenuata,1,0.006,0.00426
0918,isopods (Edotia),Edotia spp.,1,0.014,0.00979
0790,jackknife clams (razor clams),Solenoidea,1,0.109,0.07733
0886,transverse ark,Anadara transversa,1,0.037,0.02625
0605,common spider crab,Libinia emarginata,1,0.133,0.09464
0842,bent mussel,Ischadium recurvum,1,0.101,0.07180
0839,swimming crabs,Portunids,1,0.031,0.02228
0833,unidentified pea crab,Pinnixa spp.,1,0.113,0.08017
0828,unidentified sea cucumbers,Holothuroidea,1,0.150,0.10642
0826,blood ark,Anadara ovalis,1,0.700,0.49661
0825,bryozoans/dead man fingers,Alcyonidium spp.,1,0.131,0.09294
0803,purplish tagelus,Tagelus divisus,1,0.667,0.47320
0004,butterfish,Peprilus triacanthus,1,0.906,0.64275
0740,mysid (Americamysis bigelowi),Mysidopsis bigelowi,1,0.006,0.00426
0725,Atlantic brief squid,Lolliguncula brevis,1,2.104,1.49266
0674,unidentified cumacean,Cumacea,1,0.001,0.00071
0643,sea anemones,Actiniaria,1,0.307,0.21780
0629,unidentified worm,worm,1,0.417,0.29555
0912,isopod (Idotea spp.),Idotea spp.,1,0.002,0.00142
