"Species","EPU","sex","YEAR","MeanCond","nCond","n"
"Black sea bass","MAB","F",1992,105.38163614039,41,26
"Black sea bass","MAB","F",1993,104.802326080974,23,26
"Black sea bass","MAB","F",1994,106.26208848237,21,26
"Black sea bass","MAB","F",1995,106.594252286694,39,26
"Black sea bass","MAB","F",1996,106.053774712652,22,26
"Black sea bass","MAB","F",1997,107.594145905882,38,26
"Black sea bass","MAB","F",1998,102.816298940577,36,26
"Black sea bass","MAB","F",1999,103.307879878063,29,26
"Black sea bass","MAB","F",2000,106.421120977042,53,26
"Black sea bass","MAB","F",2001,102.77114140525,52,26
"Black sea bass","MAB","F",2002,101.404503742861,86,26
"Black sea bass","MAB","F",2003,101.740674575887,71,26
"Black sea bass","MAB","F",2004,102.067841181047,40,26
"Black sea bass","MAB","F",2005,97.3319299156228,18,26
"Black sea bass","MAB","F",2006,104.245684170535,23,26
"Black sea bass","MAB","F",2007,99.9245869372966,48,26
"Black sea bass","MAB","F",2008,100.747732032801,31,26
"Black sea bass","MAB","F",2009,102.580779501558,130,26
"Black sea bass","MAB","F",2010,101.374797645231,96,26
"Black sea bass","MAB","F",2011,104.668098796471,109,26
"Black sea bass","MAB","F",2012,102.432427471739,213,26
"Black sea bass","MAB","F",2013,106.712620133294,91,26
"Black sea bass","MAB","F",2014,102.943156468649,130,26
"Black sea bass","MAB","F",2015,101.976823914247,190,26
"Black sea bass","MAB","F",2016,100.528690688333,131,26
"Black sea bass","MAB","F",2018,97.9224704433452,161,26
"Black sea bass","MAB","M",1992,97.4570547775244,9,26
"Black sea bass","MAB","M",1993,98.0017301421492,14,26
"Black sea bass","MAB","M",1994,99.4327134798744,14,26
"Black sea bass","MAB","M",1995,101.536789195578,19,26
"Black sea bass","MAB","M",1996,102.056112616276,15,26
"Black sea bass","MAB","M",1997,102.570960657487,18,26
"Black sea bass","MAB","M",1998,101.751066697547,14,26
"Black sea bass","MAB","M",1999,106.512880745331,6,26
"Black sea bass","MAB","M",2000,103.35150877216,28,26
"Black sea bass","MAB","M",2001,102.926585478391,19,26
"Black sea bass","MAB","M",2002,102.101630767671,38,26
"Black sea bass","MAB","M",2003,97.8199719331108,49,26
"Black sea bass","MAB","M",2004,97.9421097054338,20,26
"Black sea bass","MAB","M",2005,106.414998879272,8,26
"Black sea bass","MAB","M",2006,101.377222469053,10,26
"Black sea bass","MAB","M",2007,93.8492970124259,9,26
"Black sea bass","MAB","M",2008,99.6909617187524,18,26
"Black sea bass","MAB","M",2009,100.275172252862,70,26
"Black sea bass","MAB","M",2010,97.8732598638248,39,26
"Black sea bass","MAB","M",2011,101.721945084318,34,26
"Black sea bass","MAB","M",2012,97.8850716363531,37,26
"Black sea bass","MAB","M",2013,103.901293763338,46,26
"Black sea bass","MAB","M",2014,100.381489060926,62,26
"Black sea bass","MAB","M",2015,96.4255849598793,93,26
"Black sea bass","MAB","M",2016,98.981266904833,45,26
"Black sea bass","MAB","M",2018,95.6262397388591,60,26
