"","Species","Region","Time","Value","Metric","Description","Units","AssessmentYear","max_year","facet","Var","Val","missing","n_data_points","pval","sig"
"1","Black sea bass","Mid",1989,3194,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","hcly fall
m^2/sec^2",141.133333333333,FALSE,29,0.824153735823756,FALSE
"2","Black sea bass","Mid",1989,3194,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","tke fall
J/kg",0.719666666666667,FALSE,29,0.444637347562154,FALSE
"3","Black sea bass","Mid",1989,3194,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","total wind speed fall
J/kg",3.49774287856408,FALSE,29,0.761379412667243,FALSE
"4","Black sea bass","Mid",1989,3194,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","uwnd fall
J/kg",2.855,FALSE,29,0.669249122154394,FALSE
"5","Black sea bass","Mid",1989,3194,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","vwnd fall
J/kg",-1.52466666666667,FALSE,29,0.670872968720383,FALSE
"6","Black sea bass","Mid",1990,3040,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","hcly fall
m^2/sec^2",125.733333333333,FALSE,29,0.824153735823756,FALSE
"7","Black sea bass","Mid",1990,3040,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","tke fall
J/kg",0.647,FALSE,29,0.444637347562154,FALSE
"8","Black sea bass","Mid",1990,3040,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","total wind speed fall
J/kg",2.61019919082246,FALSE,29,0.761379412667243,FALSE
"9","Black sea bass","Mid",1990,3040,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","uwnd fall
J/kg",2.523,FALSE,29,0.669249122154394,FALSE
"10","Black sea bass","Mid",1990,3040,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","vwnd fall
J/kg",-0.452,FALSE,29,0.670872968720383,FALSE
"11","Black sea bass","Mid",1991,3142,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","hcly fall
m^2/sec^2",123.1,FALSE,29,0.824153735823756,FALSE
"12","Black sea bass","Mid",1991,3142,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","tke fall
J/kg",0.593666666666667,FALSE,29,0.444637347562154,FALSE
"13","Black sea bass","Mid",1991,3142,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","total wind speed fall
J/kg",2.60920477440527,FALSE,29,0.761379412667243,FALSE
