"","Species","Region","Time","Value","Metric","Description","Units","AssessmentYear","max_year","facet","Var","Val","missing","n_data_points","pval","sig"
"1","Black sea bass","Mid",1989,3194,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","cumulative intensity
degrees C",9.3313,FALSE,26,0.0145995425215326,TRUE
"2","Black sea bass","Mid",1989,3194,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","maximum intensity
degrees C",1.6841,FALSE,26,0.23551177364394,FALSE
"3","Black sea bass","Mid",1990,3040,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","cumulative intensity
degrees C",44.6299,FALSE,26,0.0145995425215326,TRUE
"4","Black sea bass","Mid",1990,3040,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","maximum intensity
degrees C",2.13996666666667,FALSE,26,0.23551177364394,FALSE
"5","Black sea bass","Mid",1991,3142,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","cumulative intensity
degrees C",59.1898,FALSE,26,0.0145995425215326,TRUE
"6","Black sea bass","Mid",1991,3142,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","maximum intensity
degrees C",2.40746666666667,FALSE,26,0.23551177364394,FALSE
"7","Black sea bass","Mid",1993,3573,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","cumulative intensity
degrees C",35.2508,FALSE,26,0.0145995425215326,TRUE
"8","Black sea bass","Mid",1993,3573,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","maximum intensity
degrees C",1.8659,FALSE,26,0.23551177364394,FALSE
"9","Black sea bass","Mid",1994,2443,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","cumulative intensity
degrees C",24.1374,FALSE,26,0.0145995425215326,TRUE
"10","Black sea bass","Mid",1994,2443,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","maximum intensity
degrees C",2.5168,FALSE,26,0.23551177364394,FALSE
"11","Black sea bass","Mid",1995,3171,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","cumulative intensity
degrees C",69.2538,FALSE,26,0.0145995425215326,TRUE
"12","Black sea bass","Mid",1995,3171,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","maximum intensity
degrees C",1.82245,FALSE,26,0.23551177364394,FALSE
"13","Black sea bass","Mid",1996,4724,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","cumulative intensity
degrees C",14.2512,FALSE,26,0.0145995425215326,TRUE
"14","Black sea bass","Mid",1996,4724,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","maximum intensity
degrees C",2.0909,FALSE,26,0.23551177364394,FALSE
"15","Black sea bass","Mid",1999,2736,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","cumulative intensity
degrees C",95.5077,FALSE,26,0.0145995425215326,TRUE
"16","Black sea bass","Mid",1999,2736,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","maximum intensity
degrees C",2.0212,FALSE,26,0.23551177364394,FALSE
"17","Black sea bass","Mid",2000,3939,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","cumulative intensity
degrees C",82.2405,FALSE,26,0.0145995425215326,TRUE
"18","Black sea bass","Mid",2000,3939,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","maximum intensity
degrees C",1.89926,FALSE,26,0.23551177364394,FALSE
"19","Black sea bass","Mid",2001,5025,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","cumulative intensity
degrees C",51.1932,FALSE,26,0.0145995425215326,TRUE
"20","Black sea bass","Mid",2001,5025,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","maximum intensity
degrees C",1.98753333333333,FALSE,26,0.23551177364394,FALSE
"21","Black sea bass","Mid",2002,5518,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","cumulative intensity
degrees C",206.1264,FALSE,26,0.0145995425215326,TRUE
"22","Black sea bass","Mid",2002,5518,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","maximum intensity
degrees C",2.28231666666667,FALSE,26,0.23551177364394,FALSE
"23","Black sea bass","Mid",2003,4595,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","cumulative intensity
degrees C",9.1207,FALSE,26,0.0145995425215326,TRUE
"24","Black sea bass","Mid",2003,4595,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","maximum intensity
degrees C",2.0081,FALSE,26,0.23551177364394,FALSE
"25","Black sea bass","Mid",2004,3521,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","cumulative intensity
degrees C",25.8242,FALSE,26,0.0145995425215326,TRUE
"26","Black sea bass","Mid",2004,3521,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","maximum intensity
degrees C",3.0071,FALSE,26,0.23551177364394,FALSE
"27","Black sea bass","Mid",2005,3173,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","cumulative intensity
degrees C",104.6342,FALSE,26,0.0145995425215326,TRUE
"28","Black sea bass","Mid",2005,3173,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","maximum intensity
degrees C",2.22086666666667,FALSE,26,0.23551177364394,FALSE
"29","Black sea bass","Mid",2006,2933,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","cumulative intensity
degrees C",107.9342,FALSE,26,0.0145995425215326,TRUE
"30","Black sea bass","Mid",2006,2933,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","maximum intensity
degrees C",2.724,FALSE,26,0.23551177364394,FALSE
"31","Black sea bass","Mid",2007,2920,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","cumulative intensity
degrees C",49.1767,FALSE,26,0.0145995425215326,TRUE
"32","Black sea bass","Mid",2007,2920,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","maximum intensity
degrees C",2.3644,FALSE,26,0.23551177364394,FALSE
"33","Black sea bass","Mid",2009,3838,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","cumulative intensity
degrees C",52.5926,FALSE,26,0.0145995425215326,TRUE
"34","Black sea bass","Mid",2009,3838,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","maximum intensity
degrees C",2.1947,FALSE,26,0.23551177364394,FALSE
"35","Black sea bass","Mid",2010,5121,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","cumulative intensity
degrees C",140.4622,FALSE,26,0.0145995425215326,TRUE
"36","Black sea bass","Mid",2010,5121,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","maximum intensity
degrees C",2.382925,FALSE,26,0.23551177364394,FALSE
"37","Black sea bass","Mid",2011,2771,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","cumulative intensity
degrees C",197.4766,FALSE,26,0.0145995425215326,TRUE
"38","Black sea bass","Mid",2011,2771,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","maximum intensity
degrees C",2.3856125,FALSE,26,0.23551177364394,FALSE
"39","Black sea bass","Mid",2012,5108,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","cumulative intensity
degrees C",506.0616,FALSE,26,0.0145995425215326,TRUE
"40","Black sea bass","Mid",2012,5108,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","maximum intensity
degrees C",3.21028,FALSE,26,0.23551177364394,FALSE
"41","Black sea bass","Mid",2013,4739,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","cumulative intensity
degrees C",61.012,FALSE,26,0.0145995425215326,TRUE
"42","Black sea bass","Mid",2013,4739,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","maximum intensity
degrees C",2.02996666666667,FALSE,26,0.23551177364394,FALSE
"43","Black sea bass","Mid",2014,5896,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","cumulative intensity
degrees C",161.7588,FALSE,26,0.0145995425215326,TRUE
"44","Black sea bass","Mid",2014,5896,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","maximum intensity
degrees C",2.493,FALSE,26,0.23551177364394,FALSE
"45","Black sea bass","Mid",2015,6969,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","cumulative intensity
degrees C",425.9048,FALSE,26,0.0145995425215326,TRUE
"46","Black sea bass","Mid",2015,6969,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","maximum intensity
degrees C",3.08612857142857,FALSE,26,0.23551177364394,FALSE
"47","Black sea bass","Mid",2016,9412,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","cumulative intensity
degrees C",247.4661,FALSE,26,0.0145995425215326,TRUE
"48","Black sea bass","Mid",2016,9412,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","maximum intensity
degrees C",2.30582857142857,FALSE,26,0.23551177364394,FALSE
"49","Black sea bass","Mid",2017,10162,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","cumulative intensity
degrees C",157.7156,FALSE,26,0.0145995425215326,TRUE
"50","Black sea bass","Mid",2017,10162,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","maximum intensity
degrees C",2.13234,FALSE,26,0.23551177364394,FALSE
"51","Black sea bass","Mid",2018,7277,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","cumulative intensity
degrees C",152.0294,FALSE,26,0.0145995425215326,TRUE
"52","Black sea bass","Mid",2018,7277,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","maximum intensity
degrees C",3.394575,FALSE,26,0.23551177364394,FALSE
"53","Black sea bass","Mid",1989,1.13999998569489,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","cumulative intensity
degrees C",9.3313,FALSE,26,0.00884418987614936,TRUE
"54","Black sea bass","Mid",1989,1.13999998569489,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","maximum intensity
degrees C",1.6841,FALSE,26,0.0241148399233367,TRUE
"55","Black sea bass","Mid",1990,1.0900000333786,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","cumulative intensity
degrees C",44.6299,FALSE,26,0.00884418987614936,TRUE
"56","Black sea bass","Mid",1990,1.0900000333786,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","maximum intensity
degrees C",2.13996666666667,FALSE,26,0.0241148399233367,TRUE
"57","Black sea bass","Mid",1991,1.03999996185303,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","cumulative intensity
degrees C",59.1898,FALSE,26,0.00884418987614936,TRUE
"58","Black sea bass","Mid",1991,1.03999996185303,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","maximum intensity
degrees C",2.40746666666667,FALSE,26,0.0241148399233367,TRUE
"59","Black sea bass","Mid",1993,1.05999994277954,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","cumulative intensity
degrees C",35.2508,FALSE,26,0.00884418987614936,TRUE
"60","Black sea bass","Mid",1993,1.05999994277954,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","maximum intensity
degrees C",1.8659,FALSE,26,0.0241148399233367,TRUE
"61","Black sea bass","Mid",1994,0.870000004768372,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","cumulative intensity
degrees C",24.1374,FALSE,26,0.00884418987614936,TRUE
"62","Black sea bass","Mid",1994,0.870000004768372,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","maximum intensity
degrees C",2.5168,FALSE,26,0.0241148399233367,TRUE
"63","Black sea bass","Mid",1995,0.740000009536743,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","cumulative intensity
degrees C",69.2538,FALSE,26,0.00884418987614936,TRUE
"64","Black sea bass","Mid",1995,0.740000009536743,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","maximum intensity
degrees C",1.82245,FALSE,26,0.0241148399233367,TRUE
"65","Black sea bass","Mid",1996,0.920000016689301,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","cumulative intensity
degrees C",14.2512,FALSE,26,0.00884418987614936,TRUE
"66","Black sea bass","Mid",1996,0.920000016689301,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","maximum intensity
degrees C",2.0909,FALSE,26,0.0241148399233367,TRUE
"67","Black sea bass","Mid",1999,0.550000011920929,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","cumulative intensity
degrees C",95.5077,FALSE,26,0.00884418987614936,TRUE
"68","Black sea bass","Mid",1999,0.550000011920929,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","maximum intensity
degrees C",2.0212,FALSE,26,0.0241148399233367,TRUE
"69","Black sea bass","Mid",2000,0.540000021457672,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","cumulative intensity
degrees C",82.2405,FALSE,26,0.00884418987614936,TRUE
"70","Black sea bass","Mid",2000,0.540000021457672,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","maximum intensity
degrees C",1.89926,FALSE,26,0.0241148399233367,TRUE
"71","Black sea bass","Mid",2001,0.620000004768372,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","cumulative intensity
degrees C",51.1932,FALSE,26,0.00884418987614936,TRUE
"72","Black sea bass","Mid",2001,0.620000004768372,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","maximum intensity
degrees C",1.98753333333333,FALSE,26,0.0241148399233367,TRUE
"73","Black sea bass","Mid",2002,0.660000026226044,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","cumulative intensity
degrees C",206.1264,FALSE,26,0.00884418987614936,TRUE
"74","Black sea bass","Mid",2002,0.660000026226044,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","maximum intensity
degrees C",2.28231666666667,FALSE,26,0.0241148399233367,TRUE
"75","Black sea bass","Mid",2003,0.579999983310699,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","cumulative intensity
degrees C",9.1207,FALSE,26,0.00884418987614936,TRUE
"76","Black sea bass","Mid",2003,0.579999983310699,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","maximum intensity
degrees C",2.0081,FALSE,26,0.0241148399233367,TRUE
"77","Black sea bass","Mid",2004,0.569999992847443,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","cumulative intensity
degrees C",25.8242,FALSE,26,0.00884418987614936,TRUE
"78","Black sea bass","Mid",2004,0.569999992847443,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","maximum intensity
degrees C",3.0071,FALSE,26,0.0241148399233367,TRUE
"79","Black sea bass","Mid",2005,0.519999980926514,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","cumulative intensity
degrees C",104.6342,FALSE,26,0.00884418987614936,TRUE
"80","Black sea bass","Mid",2005,0.519999980926514,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","maximum intensity
degrees C",2.22086666666667,FALSE,26,0.0241148399233367,TRUE
"81","Black sea bass","Mid",2006,0.550000011920929,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","cumulative intensity
degrees C",107.9342,FALSE,26,0.00884418987614936,TRUE
"82","Black sea bass","Mid",2006,0.550000011920929,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","maximum intensity
degrees C",2.724,FALSE,26,0.0241148399233367,TRUE
"83","Black sea bass","Mid",2007,0.550000011920929,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","cumulative intensity
degrees C",49.1767,FALSE,26,0.00884418987614936,TRUE
"84","Black sea bass","Mid",2007,0.550000011920929,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","maximum intensity
degrees C",2.3644,FALSE,26,0.0241148399233367,TRUE
"85","Black sea bass","Mid",2009,0.670000016689301,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","cumulative intensity
degrees C",52.5926,FALSE,26,0.00884418987614936,TRUE
"86","Black sea bass","Mid",2009,0.670000016689301,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","maximum intensity
degrees C",2.1947,FALSE,26,0.0241148399233367,TRUE
"87","Black sea bass","Mid",2010,0.759999990463257,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","cumulative intensity
degrees C",140.4622,FALSE,26,0.00884418987614936,TRUE
"88","Black sea bass","Mid",2010,0.759999990463257,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","maximum intensity
degrees C",2.382925,FALSE,26,0.0241148399233367,TRUE
"89","Black sea bass","Mid",2011,0.409999996423721,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","cumulative intensity
degrees C",197.4766,FALSE,26,0.00884418987614936,TRUE
"90","Black sea bass","Mid",2011,0.409999996423721,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","maximum intensity
degrees C",2.3856125,FALSE,26,0.0241148399233367,TRUE
"91","Black sea bass","Mid",2012,0.600000023841858,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","cumulative intensity
degrees C",506.0616,FALSE,26,0.00884418987614936,TRUE
"92","Black sea bass","Mid",2012,0.600000023841858,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","maximum intensity
degrees C",3.21028,FALSE,26,0.0241148399233367,TRUE
"93","Black sea bass","Mid",2013,0.569999992847443,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","cumulative intensity
degrees C",61.012,FALSE,26,0.00884418987614936,TRUE
"94","Black sea bass","Mid",2013,0.569999992847443,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","maximum intensity
degrees C",2.02996666666667,FALSE,26,0.0241148399233367,TRUE
"95","Black sea bass","Mid",2014,0.419999986886978,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","cumulative intensity
degrees C",161.7588,FALSE,26,0.00884418987614936,TRUE
"96","Black sea bass","Mid",2014,0.419999986886978,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","maximum intensity
degrees C",2.493,FALSE,26,0.0241148399233367,TRUE
"97","Black sea bass","Mid",2015,0.330000013113022,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","cumulative intensity
degrees C",425.9048,FALSE,26,0.00884418987614936,TRUE
"98","Black sea bass","Mid",2015,0.330000013113022,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","maximum intensity
degrees C",3.08612857142857,FALSE,26,0.0241148399233367,TRUE
"99","Black sea bass","Mid",2016,0.349999994039536,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","cumulative intensity
degrees C",247.4661,FALSE,26,0.00884418987614936,TRUE
"100","Black sea bass","Mid",2016,0.349999994039536,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","maximum intensity
degrees C",2.30582857142857,FALSE,26,0.0241148399233367,TRUE
"101","Black sea bass","Mid",2017,0.519999980926514,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","cumulative intensity
degrees C",157.7156,FALSE,26,0.00884418987614936,TRUE
"102","Black sea bass","Mid",2017,0.519999980926514,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","maximum intensity
degrees C",2.13234,FALSE,26,0.0241148399233367,TRUE
"103","Black sea bass","Mid",2018,0.419999986886978,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","cumulative intensity
degrees C",152.0294,FALSE,26,0.00884418987614936,TRUE
"104","Black sea bass","Mid",2018,0.419999986886978,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","maximum intensity
degrees C",3.394575,FALSE,26,0.0241148399233367,TRUE
"105","Black sea bass","Mid",1989,24387,"Recruitment","Recruits - Age 1","Thousand Recruits",2019,2019,"Recruitment
Recruits - Age 1
Thousand Recruits","cumulative intensity
degrees C",9.3313,FALSE,26,7.50139470771895e-05,TRUE
"106","Black sea bass","Mid",1989,24387,"Recruitment","Recruits - Age 1","Thousand Recruits",2019,2019,"Recruitment
Recruits - Age 1
Thousand Recruits","maximum intensity
degrees C",1.6841,FALSE,26,0.260390119980928,FALSE
"107","Black sea bass","Mid",1990,29781,"Recruitment","Recruits - Age 1","Thousand Recruits",2019,2019,"Recruitment
Recruits - Age 1
Thousand Recruits","cumulative intensity
degrees C",44.6299,FALSE,26,7.50139470771895e-05,TRUE
"108","Black sea bass","Mid",1990,29781,"Recruitment","Recruits - Age 1","Thousand Recruits",2019,2019,"Recruitment
Recruits - Age 1
Thousand Recruits","maximum intensity
degrees C",2.13996666666667,FALSE,26,0.260390119980928,FALSE
"109","Black sea bass","Mid",1991,34070,"Recruitment","Recruits - Age 1","Thousand Recruits",2019,2019,"Recruitment
Recruits - Age 1
Thousand Recruits","cumulative intensity
degrees C",59.1898,FALSE,26,7.50139470771895e-05,TRUE
"110","Black sea bass","Mid",1991,34070,"Recruitment","Recruits - Age 1","Thousand Recruits",2019,2019,"Recruitment
Recruits - Age 1
Thousand Recruits","maximum intensity
degrees C",2.40746666666667,FALSE,26,0.260390119980928,FALSE
"111","Black sea bass","Mid",1993,19965,"Recruitment","Recruits - Age 1","Thousand Recruits",2019,2019,"Recruitment
Recruits - Age 1
Thousand Recruits","cumulative intensity
degrees C",35.2508,FALSE,26,7.50139470771895e-05,TRUE
"112","Black sea bass","Mid",1993,19965,"Recruitment","Recruits - Age 1","Thousand Recruits",2019,2019,"Recruitment
Recruits - Age 1
Thousand Recruits","maximum intensity
degrees C",1.8659,FALSE,26,0.260390119980928,FALSE
"113","Black sea bass","Mid",1994,28660,"Recruitment","Recruits - Age 1","Thousand Recruits",2019,2019,"Recruitment
Recruits - Age 1
Thousand Recruits","cumulative intensity
degrees C",24.1374,FALSE,26,7.50139470771895e-05,TRUE
"114","Black sea bass","Mid",1994,28660,"Recruitment","Recruits - Age 1","Thousand Recruits",2019,2019,"Recruitment
Recruits - Age 1
Thousand Recruits","maximum intensity
degrees C",2.5168,FALSE,26,0.260390119980928,FALSE
"115","Black sea bass","Mid",1995,36892,"Recruitment","Recruits - Age 1","Thousand Recruits",2019,2019,"Recruitment
Recruits - Age 1
Thousand Recruits","cumulative intensity
degrees C",69.2538,FALSE,26,7.50139470771895e-05,TRUE
