"","Species","Region","Time","Value","Metric","Description","Units","AssessmentYear","max_year","facet","Var","Val","missing","n_data_points","pval","sig"
"1","Black sea bass","Mid",1989,3194,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Recruitment
Thousand Recruits",24387,FALSE,30,0.146275320927097,FALSE
"2","Black sea bass","Mid",1990,3040,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Recruitment
Thousand Recruits",29781,FALSE,30,0.146275320927097,FALSE
"3","Black sea bass","Mid",1991,3142,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Recruitment
Thousand Recruits",34070,FALSE,30,0.146275320927097,FALSE
"4","Black sea bass","Mid",1992,2914,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Recruitment
Thousand Recruits",29042,FALSE,30,0.146275320927097,FALSE
"5","Black sea bass","Mid",1993,3573,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Recruitment
Thousand Recruits",19965,FALSE,30,0.146275320927097,FALSE
"6","Black sea bass","Mid",1994,2443,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Recruitment
Thousand Recruits",28660,FALSE,30,0.146275320927097,FALSE
"7","Black sea bass","Mid",1995,3171,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Recruitment
Thousand Recruits",36892,FALSE,30,0.146275320927097,FALSE
"8","Black sea bass","Mid",1996,4724,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Recruitment
Thousand Recruits",26613,FALSE,30,0.146275320927097,FALSE
"9","Black sea bass","Mid",1997,3973,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Recruitment
Thousand Recruits",26816,FALSE,30,0.146275320927097,FALSE
"10","Black sea bass","Mid",1998,2263,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Recruitment
Thousand Recruits",22880,FALSE,30,0.146275320927097,FALSE
"11","Black sea bass","Mid",1999,2736,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Recruitment
Thousand Recruits",37237,FALSE,30,0.146275320927097,FALSE
"12","Black sea bass","Mid",2000,3939,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Recruitment
Thousand Recruits",46765,FALSE,30,0.146275320927097,FALSE
"13","Black sea bass","Mid",2001,5025,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Recruitment
Thousand Recruits",27538,FALSE,30,0.146275320927097,FALSE
"14","Black sea bass","Mid",2002,5518,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Recruitment
Thousand Recruits",31597,FALSE,30,0.146275320927097,FALSE
"15","Black sea bass","Mid",2003,4595,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Recruitment
Thousand Recruits",19697,FALSE,30,0.146275320927097,FALSE
"16","Black sea bass","Mid",2004,3521,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Recruitment
Thousand Recruits",15713,FALSE,30,0.146275320927097,FALSE
"17","Black sea bass","Mid",2005,3173,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Recruitment
Thousand Recruits",16564,FALSE,30,0.146275320927097,FALSE
"18","Black sea bass","Mid",2006,2933,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Recruitment
Thousand Recruits",30816,FALSE,30,0.146275320927097,FALSE
"19","Black sea bass","Mid",2007,2920,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Recruitment
Thousand Recruits",35359,FALSE,30,0.146275320927097,FALSE
"20","Black sea bass","Mid",2008,3132,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Recruitment
Thousand Recruits",45513,FALSE,30,0.146275320927097,FALSE
"21","Black sea bass","Mid",2009,3838,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Recruitment
Thousand Recruits",34059,FALSE,30,0.146275320927097,FALSE
"22","Black sea bass","Mid",2010,5121,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Recruitment
Thousand Recruits",34419,FALSE,30,0.146275320927097,FALSE
"23","Black sea bass","Mid",2011,2771,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Recruitment
Thousand Recruits",39651,FALSE,30,0.146275320927097,FALSE
"24","Black sea bass","Mid",2012,5108,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Recruitment
Thousand Recruits",144684,FALSE,30,0.146275320927097,FALSE
"25","Black sea bass","Mid",2013,4739,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Recruitment
Thousand Recruits",47802,FALSE,30,0.146275320927097,FALSE
"26","Black sea bass","Mid",2014,5896,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Recruitment
Thousand Recruits",26240,FALSE,30,0.146275320927097,FALSE
"27","Black sea bass","Mid",2015,6969,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Recruitment
Thousand Recruits",34338,FALSE,30,0.146275320927097,FALSE
"28","Black sea bass","Mid",2016,9412,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Recruitment
Thousand Recruits",79373,FALSE,30,0.146275320927097,FALSE
"29","Black sea bass","Mid",2017,10162,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Recruitment
Thousand Recruits",47293,FALSE,30,0.146275320927097,FALSE
"30","Black sea bass","Mid",2018,7277,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Recruitment
Thousand Recruits",10058,FALSE,30,0.146275320927097,FALSE
"31","Black sea bass","Mid",1989,1.13999998569489,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","Recruitment
Thousand Recruits",24387,FALSE,30,0.273109832355327,FALSE
"32","Black sea bass","Mid",1990,1.0900000333786,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","Recruitment
Thousand Recruits",29781,FALSE,30,0.273109832355327,FALSE
"33","Black sea bass","Mid",1991,1.03999996185303,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","Recruitment
Thousand Recruits",34070,FALSE,30,0.273109832355327,FALSE
"34","Black sea bass","Mid",1992,0.930000007152557,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","Recruitment
Thousand Recruits",29042,FALSE,30,0.273109832355327,FALSE
"35","Black sea bass","Mid",1993,1.05999994277954,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","Recruitment
Thousand Recruits",19965,FALSE,30,0.273109832355327,FALSE
