"","Species","Region","Time","Value","Metric","Description","Units","AssessmentYear","max_year","facet","Var","Val","missing","n_data_points","pval","sig"
"1","Black sea bass","Mid",1989,3194,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","fall OI SST Anomaly
degreesC",-0.547934383819941,FALSE,30,0.00929126214111829,TRUE
"2","Black sea bass","Mid",1989,3194,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","spring OI SST Anomaly
degreesC",0.563628191762335,FALSE,30,0.111777349576998,FALSE
"3","Black sea bass","Mid",1989,3194,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","summer OI SST Anomaly
degreesC",-0.00370989876764938,FALSE,30,0.0099315699809971,TRUE
"4","Black sea bass","Mid",1989,3194,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","winter OI SST Anomaly
degreesC",0.189987727324731,FALSE,30,0.162014190552568,FALSE
"5","Black sea bass","Mid",1990,3040,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","fall OI SST Anomaly
degreesC",0.316246280735752,FALSE,30,0.00929126214111829,TRUE
"6","Black sea bass","Mid",1990,3040,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","spring OI SST Anomaly
degreesC",0.0913680027744022,FALSE,30,0.111777349576998,FALSE
"7","Black sea bass","Mid",1990,3040,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","summer OI SST Anomaly
degreesC",0.17897580992986,FALSE,30,0.0099315699809971,TRUE
"8","Black sea bass","Mid",1990,3040,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","winter OI SST Anomaly
degreesC",0.0392479202739784,FALSE,30,0.162014190552568,FALSE
"9","Black sea bass","Mid",1991,3142,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","fall OI SST Anomaly
degreesC",-0.167517643668747,FALSE,30,0.00929126214111829,TRUE
"10","Black sea bass","Mid",1991,3142,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","spring OI SST Anomaly
degreesC",0.665172734521013,FALSE,30,0.111777349576998,FALSE
"11","Black sea bass","Mid",1991,3142,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","summer OI SST Anomaly
degreesC",0.0450704179679597,FALSE,30,0.0099315699809971,TRUE
"12","Black sea bass","Mid",1991,3142,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","winter OI SST Anomaly
degreesC",0.708323843754616,FALSE,30,0.162014190552568,FALSE
"13","Black sea bass","Mid",1992,2914,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","fall OI SST Anomaly
degreesC",-0.872668788796519,FALSE,30,0.00929126214111829,TRUE
"14","Black sea bass","Mid",1992,2914,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","spring OI SST Anomaly
degreesC",-1.37234862158524,FALSE,30,0.111777349576998,FALSE
"15","Black sea bass","Mid",1992,2914,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","summer OI SST Anomaly
degreesC",-1.03833517907997,FALSE,30,0.0099315699809971,TRUE
"16","Black sea bass","Mid",1992,2914,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","winter OI SST Anomaly
degreesC",-0.376610516572355,FALSE,30,0.162014190552568,FALSE
"17","Black sea bass","Mid",1993,3573,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","fall OI SST Anomaly
degreesC",-0.517591909634064,FALSE,30,0.00929126214111829,TRUE
"18","Black sea bass","Mid",1993,3573,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","spring OI SST Anomaly
degreesC",-0.491906045929669,FALSE,30,0.111777349576998,FALSE
"19","Black sea bass","Mid",1993,3573,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","summer OI SST Anomaly
degreesC",-0.0364682548199191,FALSE,30,0.0099315699809971,TRUE
"20","Black sea bass","Mid",1993,3573,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","winter OI SST Anomaly
degreesC",-0.824448874174903,FALSE,30,0.162014190552568,FALSE
"21","Black sea bass","Mid",1994,2443,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","fall OI SST Anomaly
degreesC",-0.128905555276333,FALSE,30,0.00929126214111829,TRUE
"22","Black sea bass","Mid",1994,2443,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","spring OI SST Anomaly
degreesC",0.322229446263924,FALSE,30,0.111777349576998,FALSE
"23","Black sea bass","Mid",1994,2443,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","summer OI SST Anomaly
degreesC",-0.804299787410976,FALSE,30,0.0099315699809971,TRUE
"24","Black sea bass","Mid",1994,2443,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","winter OI SST Anomaly
degreesC",-1.15654323029647,FALSE,30,0.162014190552568,FALSE
"25","Black sea bass","Mid",1995,3171,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","fall OI SST Anomaly
degreesC",0.475972076839048,FALSE,30,0.00929126214111829,TRUE
"26","Black sea bass","Mid",1995,3171,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","spring OI SST Anomaly
degreesC",-0.155702511306407,FALSE,30,0.111777349576998,FALSE
"27","Black sea bass","Mid",1995,3171,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","summer OI SST Anomaly
degreesC",0.096000609309705,FALSE,30,0.0099315699809971,TRUE
"28","Black sea bass","Mid",1995,3171,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","winter OI SST Anomaly
degreesC",0.37064099135663,FALSE,30,0.162014190552568,FALSE
"29","Black sea bass","Mid",1996,4724,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","fall OI SST Anomaly
degreesC",-1.51234781027165,FALSE,30,0.00929126214111829,TRUE
"30","Black sea bass","Mid",1996,4724,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","spring OI SST Anomaly
degreesC",-0.725536238943622,FALSE,30,0.111777349576998,FALSE
"31","Black sea bass","Mid",1996,4724,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","summer OI SST Anomaly
degreesC",-1.34159276320904,FALSE,30,0.0099315699809971,TRUE
"32","Black sea bass","Mid",1996,4724,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","winter OI SST Anomaly
degreesC",-1.46693685233918,FALSE,30,0.162014190552568,FALSE
"33","Black sea bass","Mid",1997,3973,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","fall OI SST Anomaly
degreesC",-0.580489005570588,FALSE,30,0.00929126214111829,TRUE
"34","Black sea bass","Mid",1997,3973,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","spring OI SST Anomaly
degreesC",-0.66586484787771,FALSE,30,0.111777349576998,FALSE
"35","Black sea bass","Mid",1997,3973,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","summer OI SST Anomaly
degreesC",-0.388332452877858,FALSE,30,0.0099315699809971,TRUE
