"","Species","Region","Time","Value","Metric","Description","Units","AssessmentYear","max_year","facet","Var","Val","missing","n_data_points","pval","sig"
"1","Black sea bass","Mid",1989,3194,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","stratification (0-50 m)
kg m^-3",NA,TRUE,27,0.0330762708588043,TRUE
"2","Black sea bass","Mid",1990,3040,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","stratification (0-50 m)
kg m^-3",NA,TRUE,27,0.0330762708588043,TRUE
"3","Black sea bass","Mid",1991,3142,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","stratification (0-50 m)
kg m^-3",0.0431,FALSE,27,0.0330762708588043,TRUE
"4","Black sea bass","Mid",1992,2914,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","stratification (0-50 m)
kg m^-3",0.0318,FALSE,27,0.0330762708588043,TRUE
"5","Black sea bass","Mid",1993,3573,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","stratification (0-50 m)
kg m^-3",0.0433,FALSE,27,0.0330762708588043,TRUE
"6","Black sea bass","Mid",1994,2443,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","stratification (0-50 m)
kg m^-3",0.0342,FALSE,27,0.0330762708588043,TRUE
"7","Black sea bass","Mid",1995,3171,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","stratification (0-50 m)
kg m^-3",0.0231,FALSE,27,0.0330762708588043,TRUE
"8","Black sea bass","Mid",1996,4724,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","stratification (0-50 m)
kg m^-3",0.0391,FALSE,27,0.0330762708588043,TRUE
"9","Black sea bass","Mid",1997,3973,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","stratification (0-50 m)
kg m^-3",0.0405,FALSE,27,0.0330762708588043,TRUE
"10","Black sea bass","Mid",1998,2263,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","stratification (0-50 m)
kg m^-3",0.0465,FALSE,27,0.0330762708588043,TRUE
"11","Black sea bass","Mid",1999,2736,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","stratification (0-50 m)
kg m^-3",0.0382,FALSE,27,0.0330762708588043,TRUE
"12","Black sea bass","Mid",2000,3939,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","stratification (0-50 m)
kg m^-3",0.0347,FALSE,27,0.0330762708588043,TRUE
"13","Black sea bass","Mid",2001,5025,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","stratification (0-50 m)
kg m^-3",0.0413,FALSE,27,0.0330762708588043,TRUE
"14","Black sea bass","Mid",2002,5518,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","stratification (0-50 m)
kg m^-3",0.0334,FALSE,27,0.0330762708588043,TRUE
"15","Black sea bass","Mid",2003,4595,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","stratification (0-50 m)
kg m^-3",0.0371,FALSE,27,0.0330762708588043,TRUE
"16","Black sea bass","Mid",2004,3521,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","stratification (0-50 m)
kg m^-3",0.0474,FALSE,27,0.0330762708588043,TRUE
"17","Black sea bass","Mid",2005,3173,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","stratification (0-50 m)
kg m^-3",0.0401,FALSE,27,0.0330762708588043,TRUE
"18","Black sea bass","Mid",2006,2933,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","stratification (0-50 m)
kg m^-3",0.0415,FALSE,27,0.0330762708588043,TRUE
"19","Black sea bass","Mid",2007,2920,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","stratification (0-50 m)
kg m^-3",0.0397,FALSE,27,0.0330762708588043,TRUE
"20","Black sea bass","Mid",2008,3132,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","stratification (0-50 m)
kg m^-3",0.0412,FALSE,27,0.0330762708588043,TRUE
"21","Black sea bass","Mid",2009,3838,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","stratification (0-50 m)
kg m^-3",0.0415,FALSE,27,0.0330762708588043,TRUE
"22","Black sea bass","Mid",2010,5121,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","stratification (0-50 m)
kg m^-3",0.0383,FALSE,27,0.0330762708588043,TRUE
"23","Black sea bass","Mid",2011,2771,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","stratification (0-50 m)
kg m^-3",0.0483,FALSE,27,0.0330762708588043,TRUE
"24","Black sea bass","Mid",2012,5108,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","stratification (0-50 m)
kg m^-3",0.0478,FALSE,27,0.0330762708588043,TRUE
"25","Black sea bass","Mid",2013,4739,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","stratification (0-50 m)
kg m^-3",0.0382,FALSE,27,0.0330762708588043,TRUE
"26","Black sea bass","Mid",2014,5896,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","stratification (0-50 m)
kg m^-3",0.0309,FALSE,27,0.0330762708588043,TRUE
"27","Black sea bass","Mid",2015,6969,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","stratification (0-50 m)
kg m^-3",0.0354,FALSE,27,0.0330762708588043,TRUE
"28","Black sea bass","Mid",2016,9412,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","stratification (0-50 m)
kg m^-3",0.0248,FALSE,27,0.0330762708588043,TRUE
"29","Black sea bass","Mid",2017,10162,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","stratification (0-50 m)
kg m^-3",0.0351,FALSE,27,0.0330762708588043,TRUE
"30","Black sea bass","Mid",1989,1.13999998569489,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","stratification (0-50 m)
kg m^-3",NA,TRUE,27,0.65957796974197,FALSE
"31","Black sea bass","Mid",1990,1.0900000333786,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","stratification (0-50 m)
kg m^-3",NA,TRUE,27,0.65957796974197,FALSE
"32","Black sea bass","Mid",1991,1.03999996185303,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","stratification (0-50 m)
kg m^-3",0.0431,FALSE,27,0.65957796974197,FALSE
"33","Black sea bass","Mid",1992,0.930000007152557,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","stratification (0-50 m)
kg m^-3",0.0318,FALSE,27,0.65957796974197,FALSE
