"","Species","Region","Time","Value","Metric","long_term_sst_degreesC","summer_OI_SST_Anomaly_degreesC","summer_OI_SST_Anomaly_Black_sea_bass_north_spring_degreesC","fall_OI_SST_Anomaly_Black_sea_bass_north_spring_degreesC","summer_OI_SST_Anomaly_Black_sea_bass_spring_degreesC","Latitude_degreesN","Longitude_degreesW","along_shelf_distance_km","echino_100m3_annual","salps_100m3_annual","spirspp_100m3_annual","penilia_100m3_spring","spirspp_100m3_spring","poly_100m3_fall","spirspp_100m3_fall"
"1","Black sea bass","Mid",1990,3044,"Abundance",12.1875,0.17897580992986,0.485044315767198,0.399698399472101,0.150478145744227,40.30155783,-70.97489654,798.7623034,-0.981493792010085,-0.448115548808174,0.167798624515464,-0.0102869689034327,-0.210270201005397,-0.525996691615555,0.305587128671735
"2","Black sea bass","Mid",1991,3134,"Abundance",12.33719,0.0450704179679597,-0.0800714694484626,-0.121837514560029,-0.0726760981433259,40.41864141,-70.77690834,820.0910545,-0.785004820776016,-0.275308967440193,0.102254222417951,-0.0741800137746954,0.27692710400102,0.0568854176534824,0.226680719701572
"3","Black sea bass","Mid",1992,3433,"Abundance",11.34781,-1.03833517907997,-1.06503126819553,-0.793875887085878,-1.07442277292662,40.47955686,-70.72420001,828.446039,-0.659666342952106,-0.563299356439856,0.142245570084119,-0.0128610819433223,0.314187804624563,-0.593963822905773,-0.0613635745522952
"4","Black sea bass","Mid",1993,3449,"Abundance",11.66042,-0.0364682548199191,-0.102448578480285,-0.482599556164391,-0.0559603499395216,40.36139547,-70.74041936,817.3058002,-0.223710491025602,-0.129945339952878,-0.148246237254659,0.0468015131901397,-0.103527968453094,-0.279015334850904,-0.114229330261287
"5","Black sea bass","Mid",1994,3475,"Abundance",11.88385,-0.804299787410976,-0.123295702645819,-0.178679432896001,-0.599453047598594,40.51182101,-70.50702448,843.6565816,0.0965146284398439,-0.261132706580445,0.503591866578948,0.0692158303444626,1.11017896165924,0.276234560225976,0.277592132517284
"6","Black sea bass","Mid",1995,4089,"Abundance",12.06583,0.096000609309705,-0.0330345952893936,0.652337796070624,-0.0236571045058334,40.67657842,-70.49086837,858.3141769,-0.186721811983074,-0.334042943196425,0.47017676059761,0.00841326255598214,0.728798684698395,-0.284394626137587,0.0664720870234227
"7","Black sea bass","Mid",1996,4308,"Abundance",10.96677,-1.34159276320904,-1.90980558595946,-1.59584641309764,-1.64635795220347,40.40761369,-70.61213514,828.8794512,0.00659361581370695,-0.114942992692724,0.682933007528159,0.0679181093501136,0.104191046340752,0.419468821237908,0.613735448006314
"8","Black sea bass","Mid",1997,4131,"Abundance",11.52271,-0.388332452877858,-0.125066718892924,-0.380166892969315,-0.341082109483835,40.46034533,-70.73484896,826.4137543,-0.0170296356043222,-0.0751640016510261,0.332383917885481,-0.0226373986262005,0.777600507908198,-0.164160873338806,-0.156376062516538
"9","Black sea bass","Mid",1998,4636,"Abundance",12.15198,0.137935823364245,0.132305659057963,-0.799051578475307,0.0910917867588097,40.58397623,-70.71977025,838.0346349,0.00831537542468047,-0.394830465519565,0.320825195479178,0.0180094797819397,0.171838087216999,-0.437950370373084,-0.00194313696452383
"10","Black sea bass","Mid",1999,5893,"Abundance",12.84594,0.470858581429574,0.979997042108799,1.34787181684561,0.593957077295624,40.48861163,-70.68643348,831.5220071,-0.528796586766452,-0.114796817890387,-0.15372326431579,-0.000609435519776602,-0.514555715157622,0.0757479145370195,0.1851335721574
