"","Species","Region","Time","Value","Metric","Description","Units","AssessmentYear","max_year","facet","Var","Val","missing","n_data_points","pval","sig"
"1","Black sea bass","Mid",1998,2736,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","fall
Black
sea bass
north
spring
gC m-2 d-1",0.531366910587844,FALSE,20,0.870649311211774,FALSE
"2","Black sea bass","Mid",1998,2736,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","fall
Black
sea bass
south
spring
gC m-2 d-1",0.507204669048271,FALSE,20,0.565271517657261,FALSE
"3","Black sea bass","Mid",1998,2736,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","fall
Black
sea bass
spring
gC m-2 d-1",0.521004547205924,FALSE,20,0.689934269702205,FALSE
"4","Black sea bass","Mid",1998,2736,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","spring
Black
sea bass
north
spring
gC m-2 d-1",0.536730198951537,FALSE,20,0.36572867041692,FALSE
"5","Black sea bass","Mid",1998,2736,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","spring
Black
sea bass
south
spring
gC m-2 d-1",0.682237331154784,FALSE,20,0.251794176927546,FALSE
"6","Black sea bass","Mid",1998,2736,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","spring
Black
sea bass
spring
gC m-2 d-1",0.599133257710868,FALSE,20,0.295154784552377,FALSE
"7","Black sea bass","Mid",1998,2736,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","summer
Black
sea bass
north
spring
gC m-2 d-1",0.822425890170809,FALSE,20,0.465285607434149,FALSE
"8","Black sea bass","Mid",1998,2736,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","summer
Black
sea bass
south
spring
gC m-2 d-1",0.91646012015773,FALSE,20,0.175098867219263,FALSE
"9","Black sea bass","Mid",1998,2736,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","summer
Black
sea bass
spring
gC m-2 d-1",0.86275397230953,FALSE,20,0.245101920302591,FALSE
"10","Black sea bass","Mid",1998,2736,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","winter
Black
sea bass
north
spring
gC m-2 d-1",0.358788334443582,FALSE,20,0.549329950183537,FALSE
"11","Black sea bass","Mid",1998,2736,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","winter
Black
sea bass
south
spring
gC m-2 d-1",0.407761660751683,FALSE,20,0.986091933785459,FALSE
"12","Black sea bass","Mid",1998,2736,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","winter
Black
sea bass
spring
gC m-2 d-1",0.379791327994273,FALSE,20,0.762222374834699,FALSE
"13","Black sea bass","Mid",1999,3939,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","fall
Black
sea bass
north
spring
gC m-2 d-1",0.589498610727921,FALSE,20,0.870649311211774,FALSE
"14","Black sea bass","Mid",1999,3939,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","fall
Black
sea bass
south
spring
gC m-2 d-1",0.66872318199224,FALSE,20,0.565271517657261,FALSE
"15","Black sea bass","Mid",1999,3939,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","fall
Black
sea bass
spring
gC m-2 d-1",0.623475334074268,FALSE,20,0.689934269702205,FALSE
"16","Black sea bass","Mid",1999,3939,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","spring
Black
sea bass
north
spring
gC m-2 d-1",0.600925411897644,FALSE,20,0.36572867041692,FALSE
"17","Black sea bass","Mid",1999,3939,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","spring
Black
sea bass
south
spring
gC m-2 d-1",0.625182150912708,FALSE,20,0.251794176927546,FALSE
"18","Black sea bass","Mid",1999,3939,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","spring
Black
sea bass
spring
gC m-2 d-1",0.61132830203194,FALSE,20,0.295154784552377,FALSE
"19","Black sea bass","Mid",1999,3939,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","summer
Black
sea bass
north
spring
gC m-2 d-1",0.912585177874439,FALSE,20,0.465285607434149,FALSE
"20","Black sea bass","Mid",1999,3939,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","summer
Black
sea bass
south
spring
gC m-2 d-1",0.819623913968632,FALSE,20,0.175098867219263,FALSE
"21","Black sea bass","Mid",1999,3939,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","summer
Black
sea bass
spring
gC m-2 d-1",0.872717254384939,FALSE,20,0.245101920302591,FALSE
"22","Black sea bass","Mid",1999,3939,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","winter
Black
sea bass
north
spring
gC m-2 d-1",0.386054673229811,FALSE,20,0.549329950183537,FALSE
"23","Black sea bass","Mid",1999,3939,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","winter
Black
sea bass
south
spring
gC m-2 d-1",0.446490878999762,FALSE,20,0.986091933785459,FALSE
"24","Black sea bass","Mid",1999,3939,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","winter
Black
sea bass
spring
gC m-2 d-1",0.411973705807439,FALSE,20,0.762222374834699,FALSE
"25","Black sea bass","Mid",2000,5025,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","fall
Black
sea bass
north
spring
gC m-2 d-1",0.525649218178894,FALSE,20,0.870649311211774,FALSE
"26","Black sea bass","Mid",2000,5025,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","fall
Black
sea bass
south
spring
gC m-2 d-1",0.618762033335732,FALSE,20,0.565271517657261,FALSE
"27","Black sea bass","Mid",2000,5025,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","fall
Black
sea bass
spring
gC m-2 d-1",0.565582136844095,FALSE,20,0.689934269702205,FALSE
"28","Black sea bass","Mid",2000,5025,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","spring
Black
sea bass
north
spring
gC m-2 d-1",0.65281240111985,FALSE,20,0.36572867041692,FALSE
"29","Black sea bass","Mid",2000,5025,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","spring
Black
sea bass
south
spring
gC m-2 d-1",0.755241713580295,FALSE,20,0.251794176927546,FALSE
"30","Black sea bass","Mid",2000,5025,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","spring
Black
sea bass
spring
gC m-2 d-1",0.696740848525567,FALSE,20,0.295154784552377,FALSE
"31","Black sea bass","Mid",2000,5025,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","summer
Black
sea bass
north
spring
gC m-2 d-1",1.04909768732877,FALSE,20,0.465285607434149,FALSE
"32","Black sea bass","Mid",2000,5025,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","summer
Black
sea bass
south
spring
gC m-2 d-1",1.06750801547304,FALSE,20,0.175098867219263,FALSE
