"","Species","Region","Time","Value","Metric","Description","Units","AssessmentYear","max_year","facet","Var","Val","missing","n_data_points","pval","sig"
"1","Black sea bass","Mid",1988,3194,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","southern_latitude",35.066667,FALSE,30,0.189995737317388,FALSE
"2","Black sea bass","Mid",1989,3040,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","southern_latitude",34.933333,FALSE,30,0.189995737317388,FALSE
"3","Black sea bass","Mid",1990,3142,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","southern_latitude",34.983333,FALSE,30,0.189995737317388,FALSE
"4","Black sea bass","Mid",1991,2914,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","southern_latitude",34.666667,FALSE,30,0.189995737317388,FALSE
"5","Black sea bass","Mid",1992,3573,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","southern_latitude",34.866667,FALSE,30,0.189995737317388,FALSE
"6","Black sea bass","Mid",1993,2443,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","southern_latitude",35.083333,FALSE,30,0.189995737317388,FALSE
"7","Black sea bass","Mid",1994,3171,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","southern_latitude",34.966667,FALSE,30,0.189995737317388,FALSE
"8","Black sea bass","Mid",1995,4724,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","southern_latitude",35.133333,FALSE,30,0.189995737317388,FALSE
"9","Black sea bass","Mid",1996,3973,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","southern_latitude",35.6,FALSE,30,0.189995737317388,FALSE
"10","Black sea bass","Mid",1997,2263,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","southern_latitude",34.933333,FALSE,30,0.189995737317388,FALSE
"11","Black sea bass","Mid",1998,2736,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","southern_latitude",35.083333,FALSE,30,0.189995737317388,FALSE
"12","Black sea bass","Mid",1999,3939,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","southern_latitude",35.102333,FALSE,30,0.189995737317388,FALSE
"13","Black sea bass","Mid",2000,5025,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","southern_latitude",34.983,FALSE,30,0.189995737317388,FALSE
"14","Black sea bass","Mid",2001,5518,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","southern_latitude",35.687698,FALSE,30,0.189995737317388,FALSE
"15","Black sea bass","Mid",2002,4595,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","southern_latitude",35.606667,FALSE,30,0.189995737317388,FALSE
"16","Black sea bass","Mid",2003,3521,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","southern_latitude",35.064167,FALSE,30,0.189995737317388,FALSE
"17","Black sea bass","Mid",2004,3173,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","southern_latitude",35.597438,FALSE,30,0.189995737317388,FALSE
"18","Black sea bass","Mid",2005,2933,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","southern_latitude",34.861168,FALSE,30,0.189995737317388,FALSE
"19","Black sea bass","Mid",2006,2920,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","southern_latitude",35.56205,FALSE,30,0.189995737317388,FALSE
"20","Black sea bass","Mid",2007,3132,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","southern_latitude",35.651408,FALSE,30,0.189995737317388,FALSE
"21","Black sea bass","Mid",2008,3838,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","southern_latitude",35.791457,FALSE,30,0.189995737317388,FALSE
"22","Black sea bass","Mid",2009,5121,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","southern_latitude",35.604422,FALSE,30,0.189995737317388,FALSE
"23","Black sea bass","Mid",2010,2771,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","southern_latitude",35.285772,FALSE,30,0.189995737317388,FALSE
"24","Black sea bass","Mid",2011,5108,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","southern_latitude",35.416227,FALSE,30,0.189995737317388,FALSE
"25","Black sea bass","Mid",2012,4739,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","southern_latitude",35.72411,FALSE,30,0.189995737317388,FALSE
"26","Black sea bass","Mid",2013,5896,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","southern_latitude",35.406342,FALSE,30,0.189995737317388,FALSE
"27","Black sea bass","Mid",2014,6969,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","southern_latitude",35.032833,FALSE,30,0.189995737317388,FALSE
"28","Black sea bass","Mid",2015,9412,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","southern_latitude",35.060817,FALSE,30,0.189995737317388,FALSE
"29","Black sea bass","Mid",2016,10162,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","southern_latitude",35.389428,FALSE,30,0.189995737317388,FALSE
"30","Black sea bass","Mid",2017,7277,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","southern_latitude",35.740993,FALSE,30,0.189995737317388,FALSE
