"","Species","Region","Time","Value","Metric","Description","Units","AssessmentYear","max_year","facet","Var","Val","missing","n_data_points","pval","sig"
"1","Black sea bass","Mid",1989,3040,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Time",1989,FALSE,29,6.68778078371352e-05,TRUE
"2","Black sea bass","Mid",1990,3142,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Time",1990,FALSE,29,6.68778078371352e-05,TRUE
"3","Black sea bass","Mid",1991,2914,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Time",1991,FALSE,29,6.68778078371352e-05,TRUE
"4","Black sea bass","Mid",1992,3573,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Time",1992,FALSE,29,6.68778078371352e-05,TRUE
"5","Black sea bass","Mid",1993,2443,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Time",1993,FALSE,29,6.68778078371352e-05,TRUE
"6","Black sea bass","Mid",1994,3171,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Time",1994,FALSE,29,6.68778078371352e-05,TRUE
"7","Black sea bass","Mid",1995,4724,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Time",1995,FALSE,29,6.68778078371352e-05,TRUE
"8","Black sea bass","Mid",1996,3973,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Time",1996,FALSE,29,6.68778078371352e-05,TRUE
"9","Black sea bass","Mid",1997,2263,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Time",1997,FALSE,29,6.68778078371352e-05,TRUE
"10","Black sea bass","Mid",1998,2736,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Time",1998,FALSE,29,6.68778078371352e-05,TRUE
"11","Black sea bass","Mid",1999,3939,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Time",1999,FALSE,29,6.68778078371352e-05,TRUE
