"","YEAR","SVSPP","N","strat.biomass","biomass.var","biomass.SE","strat.abund","abund.var","abund.SE","tot.biomass","tot.bio.var","tot.bio.SE","tot.abundance","tot.abund.var","tot.abund.SE","Species"
"1",1963,141,4,1.04184413609109,0.00517273886170576,0.0359608775675238,2.02294315204357,0,0,696419.236253649,2311301323.26644,48075.9952914803,1352233,0,0,"Black sea bass"
"2",1964,141,5,0.597623516262529,0.0710805340006409,0.119231316356602,1.73217637196897,0.337533262014217,0.259820423375152,162040.683302458,5225687759.96875,72288.9186526452,469665,24814718413.2594,157526.881557591,"Black sea bass"
"3",1965,141,1,0.5,0,0,1,0,0,113964.150042304,0,0,227928,0,0,"Black sea bass"
"4",1967,141,8,1.20271862886225,0.303545973635486,0.19479026337175,3.81944526174735,0.947954250838361,0.344229983230391,716428.252951133,107706474244.87,328186.645439558,2275144,336360284672.546,579965.761638173,"Black sea bass"
"5",1968,141,14,0.629872356904489,0.0146924968435231,0.0323954327066586,4.66473820264913,0.443222061153258,0.177928970810838,451952.384597882,7564424150.17799,86973.6980366937,3347090,228192641386.025,477695.134354564,"Black sea bass"
"6",1969,141,15,0.930058267982285,0.164449172770802,0.104705674080826,5.88587106392638,2.48656046217884,0.407149478052704,1023830.24800098,199281640554.342,446409.722737242,6479307,3013246220041.44,1735870.45024721,"Black sea bass"
"7",1970,141,6,1.37498652788307,0.00826962943947403,0.0371250801109664,9.81678185789703,6.95462279090193,1.07661682992774,986594.241285221,4257614298.72667,65250.3969239013,7043837,3580583828273.41,1892243.06796812,"Black sea bass"
"8",1971,141,9,0.625469238092557,0.0144520590074028,0.0400722389461316,5.39965253120163,0.893255983897592,0.315040735266902,586804.047620647,12720495179.3924,112785.172693011,5065857,786231112903.18,886696.742355119,"Black sea bass"
"9",1972,141,66,1.34079715514417,0.0192955349975335,0.0170984382582656,8.15681240881843,0.564581008764295,0.0924892302300648,2379349.89647915,60764130692.3651,246503.814762298,14474904,1777938482004.58,1333393.59605654,"Black sea bass"
"10",1973,141,56,0.386732542963991,0.0126173285537399,0.0150103110713816,11.5557864157425,10.5989236692665,0.4350476917466,535386.246072434,24181341738.1038,155503.510372286,15997643,20313031733380.8,4506998.08446607,"Black sea bass"
"11",1974,141,44,1.35565081441431,0.154153484313563,0.0591902718345987,8.65898533046981,3.93299095846922,0.298975179817703,2559286.78220551,549408753129.813,741221.122965214,16347002,14017326096684.9,3743971.96793524,"Black sea bass"
"12",1975,141,62,0.471137815396902,0.00534963659483301,0.00928894295423242,10.9562147807137,1.10366402172799,0.133420510449166,729542.999737079,12827149088.5955,113257.004589542,16965375,2646322362176.4,1626752.08995606,"Black sea bass"
"13",1976,141,57,0.661041017538738,0.00439883317321903,0.00878478866056891,12.3970079779075,46.8302598846579,0.906412437441358,1179955.47515685,14015607108.0635,118387.529360417,22128608,149211051537006,12215197.564387,"Black sea bass"
"14",1977,141,47,0.830546603138642,0.00272786455487538,0.00761837721436312,23.5833562591596,59.64390477849,1.12650754573867,1533086.71769658,9294547090.8791,96408.2314477302,43531971,203222363315949,14255608.1356058,"Black sea bass"
"15",1978,141,45,0.540073562851762,0.00897130456514925,0.0141195723614415,4.7577167170289,1.49236783912012,0.182109114978424,849483.66188024,22195238923.9608,148980.666275731,7483430,3692156532103.56,1921498.51212629,"Black sea bass"
"16",1979,141,54,0.829155745205597,0.00999901318567783,0.0136076048901298,9.23353089671921,4.42148966158902,0.286145833758897,1280902.09791628,23862546428.5953,154475.067336432,14264207,10551841504154.3,3248359.81753166,"Black sea bass"
"17",1980,141,49,0.848816417889208,0.00230681571006836,0.00686133162250944,6.12346388478481,0.218547802204565,0.0667844235481942,1501550.57335381,7218804600.40192,84963.5486570678,10832367,683909803924.171,826988.394068605,"Black sea bass"
"18",1981,141,55,0.828967069842862,0.0621638230337896,0.0336192106969673,5.38788227848291,2.5090463297714,0.213586104832833,1490345.20464691,200926355473.034,448248.095894487,9686518,8109757575236.85,2847763.60943756,"Black sea bass"
"19",1982,141,61,0.409558548585875,0.00831525561900446,0.0116754300085829,11.5530888101276,1.78629112741313,0.171124110239128,753493.004875696,28145052531.8987,167764.872759165,21255011,6046146976336.29,2458891.41206689,"Black sea bass"
"20",1983,141,61,0.683895809884839,0.0177392155819605,0.0170530587525823,7.98026653596181,1.49181872459177,0.156384285225335,1255054.85728494,59742025593.5843,244421.818980189,14645027,5024138300465.91,2241458.96693781,"Black sea bass"
"21",1984,141,29,1.71887043818465,2.13353278766471,0.271238080155367,26.4794291246001,532.307460390077,4.28432371193206,1577945.65611715,1798030774901.76,1340906.69880561,24308464,448601118775761,21180205.8246789,"Black sea bass"
"22",1985,141,48,0.567696644399584,0.00308100798323004,0.00801172055911166,10.5381901000598,3.02612090377226,0.25108601214575,813212.668043713,6322203051.07298,79512.2823912946,15095720,6209575215279.9,2491901.92729969,"Black sea bass"
"23",1986,141,58,0.199932734691595,0.000850415913280135,0.00382914394250414,5.66348852320636,0.340450626134875,0.0766148704993735,435804.252086058,4040605886.19389,63565.7603289215,12345014,1617592971200.46,1271846.28442295,"Black sea bass"
"24",1987,141,29,0.764182591416884,0.0347164740485858,0.0345994189948158,5.45614432023785,0.565556015065389,0.139649316339103,862227.774438036,44196242404.6542,210229.023697144,6156172,719988173345.57,848521.168472284,"Black sea bass"
"25",1988,141,29,0.481579797766278,0.017582842900212,0.0246232598896555,4.24177850659944,0.122855579086936,0.0650876276942083,261185.768152342,5171917556.82635,71916.0451973435,2300537,36137439778.0767,190098.500199441,"Black sea bass"
"26",1989,141,38,0.45746105365749,0.00025763724235448,0.00260382937812389,5.70497796300375,0.192254374599642,0.0711289367793376,548317.377074044,370138626.721424,19238.9871542507,6838043,276205293711.336,525552.370093919,"Black sea bass"
"27",1990,141,34,1.37315190545345,0.110255626929645,0.0569456983165037,13.9437083172949,6.2956800567475,0.430310423406839,1690013.33586845,167010531660.241,408669.220348488,17161286,9536428232466.69,3088110.78694834,"Black sea bass"
"28",1991,141,30,0.626688853473449,0.0253335604719835,0.0290594565629295,10.0712480213758,6.56438694682475,0.467774409547478,614265.175621055,24339075634.6302,156009.857491859,9871592,6306697811799.42,2511313.9612162,"Black sea bass"
"29",1992,141,41,0.408784244520991,0.00520875100492292,0.0112713223464305,6.86661727884042,0.185958065979596,0.0673465855472139,600444.699603329,11238059591.7677,106009.714610349,10086064,401210928507.323,633412.13163889,"Black sea bass"
"30",1993,141,25,0.582344189325777,0.0403455265330197,0.0401723917799375,3.71878244166842,0.999888372900014,0.199988836978469,269417.096566338,8635474338.26152,92927.2529361625,1720466,214014071132.21,462616.5487012,"Black sea bass"
"31",1994,141,31,0.863227375043648,0.118319329987851,0.0617798719669544,16.1735903825459,79.5062834659422,1.60147395279536,664737.709353862,70162640556.1051,264882.314540071,12454651,47146740852449.6,6866348.43657454,"Black sea bass"
"32",1995,141,50,0.342541308901594,0.00422571820277847,0.00919316942384777,10.3022132753957,0.226896822840244,0.0673642075348986,694493.56346924,17370450284.6611,131797.00408075,20887469,932693519009.99,965760.590938557,"Black sea bass"
"33",1996,141,25,0.436028728301885,0.0238449094986908,0.0308835940257547,6.31619040892649,0.855094586440609,0.184942649104052,338246.275597771,14349326469.3579,119788.674211538,4899741,514576554953.608,717339.915907102,"Black sea bass"
"34",1997,141,29,1.07070333385244,0.637910665584771,0.148313585024849,14.5945092762516,83.8394850755753,1.7002990109813,925270.849985387,476386355439.102,690207.472749392,12612153,62610626991839.7,7912687.72237599,"Black sea bass"
