"","Year","T","S","Annual Avg T","Annual Avg S"
"1",1977.651,9.4928,"33.8977",10.6887,33.3178
"2",1977.8085,8.5683,"33.786999999999999",10.6887,33.3178
"3",1978.1424,8.0475,"32.967700000000001",10.6887,33.3178
"4",1978.3139,8.9783,"32.947000000000003",10.6887,33.3178
"5",1978.4888,10.0293,"32.865200000000002",10.6887,33.3178
"6",1978.626,9.0033,"33.318800000000003",10.6887,33.3178
"7",1979.1637,7.6451,"33.173200000000001",10.6887,33.3178
"8",1979.3568,9.8019,"33.397199999999998",10.6887,33.3178
"9",1979.4917,10.7918,"33.311700000000002",10.6887,33.3178
"10",1979.6249,11.4711,"33.310499999999998",10.6887,33.3178
"11",1979.7716,9.3854,"33.405700000000003",10.6887,33.3178
"12",1980.1779,9.4809,"33.917200000000001",10.6887,33.3178
"13",1980.3072,10.0903,"33.696399999999997",10.6887,33.3178
"14",1980.4078,9.8844,"33.326500000000003",10.6887,33.3178
"15",1980.5548,10.4442,"33.974400000000003",10.6887,33.3178
"16",1980.7536,8.467,"33.503399999999999",10.6887,33.3178
"17",1980.8996,8.3372,"33.802",10.6887,33.3178
"18",1981.2293,9.2181,"33.664999999999999",10.6887,33.3178
"19",1982.2194,9.1271,"32.698399999999999",10.6887,33.3178
"20",1983.4121,10.49,"32.8705",10.6887,33.3178
"21",1983.8903,10.0581,"33.256900000000002",10.6887,33.3178
"22",1984.1009,9.3,"32.849299999999999",10.6887,33.3178
"23",1984.3668,9.8479,"32.807099999999998",10.6887,33.3178
"24",1984.8495,11.3305,"33.313200000000002",10.6887,33.3178
"25",1985.0965,9.4459,"33.864699999999999",10.6887,33.3178
"26",1985.2982,11.7312,"34.012599999999999",10.6887,33.3178
"27",1985.3896,12.2248,"33.911799999999999",10.6887,33.3178
"28",1985.6745,11.8872,"33.963099999999997",10.6887,33.3178
"29",1985.8637,11.6273,"33.912500000000001",10.6887,33.3178
"30",1986.0389,11.2653,"34.236800000000002",10.6887,33.3178
"31",1986.3644,12.1208,"33.588299999999997",10.6887,33.3178
"32",1986.6691,11.9307,"33.616999999999997",10.6887,33.3178
"33",1986.8567,11.0812,"33.658299999999997",10.6887,33.3178
"34",1987.0324,10.8378,"33.5854",10.6887,33.3178
"35",1987.358,9.9857,"32.820399999999999",10.6887,33.3178
"36",1987.6445,10.6065,"33.042999999999999",10.6887,33.3178
"37",1987.8563,8.4425,"33.2517",10.6887,33.3178
"38",1988.0714,8.8581,"32.686399999999999",10.6887,33.3178
"39",1991.1985,12.5349,"33.339500000000001",10.6887,33.3178
"40",1991.7102,10.4529,"33.200200000000002",10.6887,33.3178
"41",1992.1285,10.6227,"33.466000000000001",10.6887,33.3178
"42",1992.1926,11.1107,"33.058599999999998",10.6887,33.3178
"43",1992.4603,10.7125,"32.481499999999997",10.6887,33.3178
"44",1992.5991,8.3918,"33.473399999999998",10.6887,33.3178
"45",1992.7182,8.9454,"33.0779",10.6887,33.3178
"46",1993.1115,9.9943,"32.932099999999998",10.6887,33.3178
"47",1993.2163,9.2938,"32.570900000000002",10.6887,33.3178
"48",1993.5953,8.7081,"33.558500000000002",10.6887,33.3178
"49",1993.7041,8.1967,"33.247",10.6887,33.3178
"50",1994.0972,9.9079,"33.416800000000002",10.6887,33.3178
"51",1994.1871,9.4618,"32.654299999999999",10.6887,33.3178
"52",1994.487,10.9131,"34.342500000000001",10.6887,33.3178
"53",1994.5819,10.4032,"33.596499999999999",10.6887,33.3178
"54",1994.7087,10.4296,"33.518799999999999",10.6887,33.3178
"55",1995.1225,11.0364,"33.857199999999999",10.6887,33.3178
"56",1995.2164,11.3786,"33.550600000000003",10.6887,33.3178
"57",1995.2177,12.737,"33.959299999999999",10.6887,33.3178
"58",1995.7046,14.7757,"33.101599999999998",10.6887,33.3178
"59",1996.1164,10.041,"33.509099999999997",10.6887,33.3178
"60",1996.221,10.0858,"33.063699999999997",10.6887,33.3178
"61",1996.4474,9.4873,"32.718499999999999",10.6887,33.3178
"62",1996.5918,6.9532,"32.805100000000003",10.6887,33.3178
"63",1996.7114,10.0286,"32.335799999999999",10.6887,33.3178
"64",1997.1072,10.7026,"32.638800000000003",10.6887,33.3178
"65",1997.1907,12.0265,"32.440199999999997",10.6887,33.3178
"66",1997.4728,12.7766,"32.174900000000001",10.6887,33.3178
"67",1997.5677,9.9935,"NaN",10.6887,33.3178
"68",1997.7052,11.417,"33.078499999999998",10.6887,33.3178
"69",1998.1185,10.78,"32.922199999999997",10.6887,33.3178
"70",1998.1854,10.9559,"32.453899999999997",10.6887,33.3178
"71",1998.4089,10.6912,"32.151899999999998",10.6887,33.3178
"72",1998.5686,9.8522,"32.950299999999999",10.6887,33.3178
"73",1998.7398,9.6543,"32.516199999999998",10.6887,33.3178
"74",1998.8486,8.2004,"32.246099999999998",10.6887,33.3178
"75",1999.1031,12.0329,"32.844000000000001",10.6887,33.3178
"76",1999.1969,12.2136,"32.8932",10.6887,33.3178
"77",1999.5527,13.4267,"34.663899999999998",10.6887,33.3178
"78",1999.7419,11.6074,"33.881399999999999",10.6887,33.3178
"79",1999.8587,11.5561,"34.462600000000002",10.6887,33.3178
"80",2000.1281,11.834,"34.4664",10.6887,33.3178
"81",2000.2252,11.6394,"33.6218",10.6887,33.3178
"82",2000.4012,11.3626,"33.545200000000001",10.6887,33.3178
"83",2000.5518,10.5567,"33.632899999999999",10.6887,33.3178
"84",2000.7029,12.32,"33.276000000000003",10.6887,33.3178
"85",2000.8418,10.1084,"33.2288",10.6887,33.3178
"86",2001.0964,10.2166,"33.545099999999998",10.6887,33.3178
"87",2001.1924,10.7357,"33.11",10.6887,33.3178
"88",2001.3876,9.925,"32.806699999999999",10.6887,33.3178
"89",2001.5204,9.1929,"33.492600000000003",10.6887,33.3178
