Species,Region,Season,Year,Metric,Value,Units,Note
Acadian redfish,Gulf of Maine / Georges Bank,NA,2005,Bio_data_rating_2019,NA,qualitative,NA
Acadian redfish,Gulf of Maine / Georges Bank,NA,2008,Bio_data_rating_2019,NA,qualitative,NA
Acadian redfish,Gulf of Maine / Georges Bank,NA,2012,Bio_data_rating_2019,NA,qualitative,NA
Acadian redfish,Gulf of Maine / Georges Bank,NA,2015,Bio_data_rating_2019,NA,qualitative,NA
Acadian redfish,Gulf of Maine / Georges Bank,NA,2017,Bio_data_rating_2019,NA,qualitative,NA
Acadian redfish,Gulf of Maine / Georges Bank,NA,2005,Bio_data_rating,2,qualitative,NA
Acadian redfish,Gulf of Maine / Georges Bank,NA,2008,Bio_data_rating,3,qualitative,NA
Acadian redfish,Gulf of Maine / Georges Bank,NA,2012,Bio_data_rating,3,qualitative,NA
Acadian redfish,Gulf of Maine / Georges Bank,NA,2015,Bio_data_rating,3,qualitative,NA
Acadian redfish,Gulf of Maine / Georges Bank,NA,2017,Bio_data_rating,3,qualitative,NA
Acadian redfish,Gulf of Maine / Georges Bank,NA,2005,Size_data_rating,NA,qualitative,NA
Acadian redfish,Gulf of Maine / Georges Bank,NA,2008,Size_data_rating,NA,qualitative,NA
Acadian redfish,Gulf of Maine / Georges Bank,NA,2012,Size_data_rating,NA,qualitative,NA
Acadian redfish,Gulf of Maine / Georges Bank,NA,2015,Size_data_rating,NA,qualitative,NA
Acadian redfish,Gulf of Maine / Georges Bank,NA,2017,Size_data_rating,NA,qualitative,NA
Acadian redfish,Gulf of Maine / Georges Bank,NA,2005,Eco_link_data_rating,NA,qualitative,NA
Acadian redfish,Gulf of Maine / Georges Bank,NA,2008,Eco_link_data_rating,NA,qualitative,NA
Acadian redfish,Gulf of Maine / Georges Bank,NA,2012,Eco_link_data_rating,NA,qualitative,NA
Acadian redfish,Gulf of Maine / Georges Bank,NA,2015,Eco_link_data_rating,NA,qualitative,NA
Acadian redfish,Gulf of Maine / Georges Bank,NA,2017,Eco_link_data_rating,NA,qualitative,NA
Acadian redfish,Gulf of Maine / Georges Bank,NA,2005,FSSI,Y,qualitative,NA
Acadian redfish,Gulf of Maine / Georges Bank,NA,2008,FSSI,Y,qualitative,NA
Acadian redfish,Gulf of Maine / Georges Bank,NA,2012,FSSI,Y,qualitative,NA
Acadian redfish,Gulf of Maine / Georges Bank,NA,2015,FSSI,Y,qualitative,NA
Acadian redfish,Gulf of Maine / Georges Bank,NA,2017,FSSI,Y,qualitative,NA
Acadian redfish,Gulf of Maine / Georges Bank,NA,2005,Review_result,Full acceptance,qualitative,NA
Acadian redfish,Gulf of Maine / Georges Bank,NA,2008,Review_result,Full acceptance,qualitative,NA
Acadian redfish,Gulf of Maine / Georges Bank,NA,2012,Review_result,Full acceptance,qualitative,NA
Acadian redfish,Gulf of Maine / Georges Bank,NA,2015,Review_result,Full acceptance,qualitative,NA
Acadian redfish,Gulf of Maine / Georges Bank,NA,2017,Review_result,Full acceptance,qualitative,NA
American plaice,Gulf of Maine / Georges Bank,NA,2005,Bio_data_rating_2019,NA,qualitative,NA
American plaice,Gulf of Maine / Georges Bank,NA,2008,Bio_data_rating_2019,NA,qualitative,NA
American plaice,Gulf of Maine / Georges Bank,NA,2012,Bio_data_rating_2019,NA,qualitative,NA
American plaice,Gulf of Maine / Georges Bank,NA,2015,Bio_data_rating_2019,NA,qualitative,NA
American plaice,Gulf of Maine / Georges Bank,NA,2017,Bio_data_rating_2019,NA,qualitative,NA
American plaice,Gulf of Maine / Georges Bank,NA,2005,Bio_data_rating,4,qualitative,NA
American plaice,Gulf of Maine / Georges Bank,NA,2008,Bio_data_rating,4,qualitative,NA
American plaice,Gulf of Maine / Georges Bank,NA,2012,Bio_data_rating,4,qualitative,NA
American plaice,Gulf of Maine / Georges Bank,NA,2015,Bio_data_rating,4,qualitative,NA
American plaice,Gulf of Maine / Georges Bank,NA,2017,Bio_data_rating,4,qualitative,NA
American plaice,Gulf of Maine / Georges Bank,NA,2005,Size_data_rating,NA,qualitative,NA
American plaice,Gulf of Maine / Georges Bank,NA,2008,Size_data_rating,NA,qualitative,NA
American plaice,Gulf of Maine / Georges Bank,NA,2012,Size_data_rating,NA,qualitative,NA
American plaice,Gulf of Maine / Georges Bank,NA,2015,Size_data_rating,NA,qualitative,NA
American plaice,Gulf of Maine / Georges Bank,NA,2017,Size_data_rating,NA,qualitative,NA
