"","Stock Name","Jurisdiction","FMP","Science Center","Regional Ecosystem","FSSI Stock?","Assessment Year","Assessment Month","Last Data Year","Update Type","Review Result","Assessment Model","Model Version","Lead Lab","Citation","Point of Contact","Life History Data","Abundance Data","Catch Data","Assessment Level","Assessment Frequency","Assessment Type","Model Category","Catch Input Data","Abundance Input Data","Biological Input Data","Ecosystem Linkage","Composition Input Data","F Year","Estimated F","F Unit","F Basis","Flimit","Flimit Basis","Fmsy","Fmsy Basis","F/Flimit","F/Fmsy","Ftarget","Ftarget Basis","F/Ftarget","B Year","Estimated B","B Unit","B Basis","Blimit","Blimit Basis","Bmsy","Bmsy Basis","B/Blimit","B/Bmsy","MSY","MSY Unit","Species","Region"
"1","Atlantic herring - Northwestern Atlantic Coast","NEFMC","Atlantic Herring","NEFSC","Northeast Shelf","Y",2006,5,2005,"Benchmark","Full acceptance","ASAP",NA,"NEFSC & Canada","Transboundary Resource & Assessment Committee Status Report 2006/01","Weinberg",3,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2005,0.109999999403954,"Rate","Fishing_Mortality_For_Age_2+",0.310000002384186,"F rate",0.310000002384186,"Fox surplus production model",0.349999994039536,0.349999994039536,NA,NA,NA,2005,1040000,"mt","Age 2+",314500,"0.5*Bmsy",629000,"Fox SP Model",3.30999994277954,1.64999997615814,194000,NA,"Atlantic herring","Northwestern Atlantic Coast"
"2","Atlantic herring - Northwestern Atlantic Coast","NEFMC","Atlantic Herring","NEFSC","Northeast Shelf","Y",2009,7,2008,"Full Update","Full acceptance","ASAP","2.0.1.9","NEFSC","TRAC Status Report 2009/04","Loretta O'Brien",3,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2008,0.140000000596046,"Rate","Fishing_Mortality_For_Age_2+",0.270000010728836,NA,0.270000010728836,"Fox surplus production model",0.518999993801117,0.518999993801117,NA,NA,NA,2008,652000,"mt","Age 2+",335300,"0.5*Bmsy",670600,"Fox SP Model",1.94500005245209,0.972000002861023,178374,NA,"Atlantic herring","Northwestern Atlantic Coast"
"3","Atlantic herring - Northwestern Atlantic Coast","NEFMC","Atlantic Herring","NEFSC","Northeast Shelf","Y",2012,7,2011,"Benchmark","Full acceptance","ASAP","2.0.1.9","NEFSC","SAW/SARC54 ,  NEFSC CRD12-14","James Weinberg",3,3,5,5,2,NA,NA,NA,NA,NA,NA,NA,2011,0.140000000596046,"Instantaneous annual F averaged across ages","F rate",0.270000010728836,NA,0.270000010728836,"Direct estimate",0.518999993801117,0.518999993801117,NA,NA,NA,2008,517930,"mt","Spawning biomass",78500,"0.5*Bmsy",157000,"Direct Estimate",6.59800004959106,3.29900002479553,53000,"mt","Atlantic herring","Northwestern Atlantic Coast"
"4","Atlantic herring - Northwestern Atlantic Coast","NEFMC","Atlantic Herring","NEFSC","Northeast Shelf","Y",2015,6,2014,"Full Update","Full acceptance","ASAP","2.0.1.9","NEFSC","Atlantic herring Operational Assessment Report 2015,  (NEFSC CRD15-16)","James Weinberg",3,3,5,5,2,NA,NA,NA,NA,NA,NA,NA,2014,0.159999996423721,"fully recruited F-- age 5","F rate",0.239999994635582,NA,0.239999994635582,"Direct estimate",0.666999995708466,0.666999995708466,NA,NA,NA,2014,622991,"mt","Spawning biomass",155572,"0.5*Bmsy",311145,"Direct Estimate",4.00500011444092,2.00200009346008,77247,"mt","Atlantic herring","Northwestern Atlantic Coast"
"5","Atlantic herring - Northwestern Atlantic Coast","NEFMC","Atlantic Herring","NEFSC","Northeast Shelf","Y",2018,8,2017,"Benchmark","Full acceptance","ASAP",NA,"NEFSC","65th Northeast Regional SAW Assessment Summary Report. NEFSC CRD#18-08 (2018)","Jonathan Deroba",3,3,5,5,2,NA,NA,NA,NA,NA,NA,NA,2017,0.449999988079071,"Average_F","Average_F_Age_7-8",NA,NA,0.509999990463257,"F40% as proxy",NA,0.882000029087067,NA,NA,NA,2017,141473,"mt","Spawning biomass",94500,"0.5*Bmsy",189000,"Direct Estimate",1.49699997901917,0.749000012874603,112000,"mt","Atlantic herring","Northwestern Atlantic Coast"
"6","Atlantic salmon - Gulf of Maine","NEFMC","Atlantic Salmon","NEFSC","Northeast Shelf","N",2016,7,2015,"Full Update","Full acceptance","Census of total population. Trap counts and regression of redd counts.",NA,"NEFSC","Annual Report of the U.S. Atlantic Salmon Assessment Committee. Report N.o. 28 - 2015 Activities. Prepared for the U.S. Section to NASCO","Timothy Sheehan",3,2,4,1,3,NA,NA,NA,NA,NA,NA,NA,2014,0.108000002801418,"Annual Exploitation Rate","catch",0,".species is listed as endangered under ESA",0,"species is listed as endangered under ESA",0,0,0,"species is listed as endangered under ESA",0,2015,921,"adult spawners (hatchery + natural)","spawner numbers",3000,"50% Escapement goal",6000,"Escapement goal",0.293999999761581,0.146999999880791,0,"numbers","Atlantic salmon","Gulf of Maine"
"7","Atlantic salmon - Gulf of Maine","NEFMC","Atlantic Salmon","NEFSC","Northeast Shelf","N",2017,7,2016,"Full Update","Full acceptance","Census of total population. Trap counts and regression of redd counts.",NA,"NEFSC","Annual Report of the U.S. Atlantic Salmon Assessment Committee. Report N.o. 29 - 2016 Activities. Prepared for the U.S. Section to NASCO","Timothy Sheehan",3,2,4,1,3,NA,NA,NA,NA,NA,NA,NA,2016,0,"Annual Exploitation Rate","catch",0,".species is listed as endangered under ESA",0,"species is listed as endangered under ESA",0,0,0,"species is listed as endangered under ESA",0,2016,626,"adult spawners (hatchery + natural)","spawner numbers",3000,"50% Escapement goal",6000,"Escapement goal",0.293999999761581,0.146999999880791,0,"numbers","Atlantic salmon","Gulf of Maine"
"8","Sea scallop - Northwestern Atlantic Coast","NEFMC","Atlantic Sea Scallop","NEFSC","Northeast Shelf","Y",2007,7,2006,"Benchmark","Full acceptance","Size Structured Forward Projecting (CASA)",NA,"NEFSC","NEFSC CRD 07-11 (2007)","Weinberg",3,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2006,0.230000004172325,"Rate","Fully_Recruited_F",0.28999999165535,"Fmax",NA,"proxy",0.790000021457672,NA,0.200000002980232,NA,1.14999997615814,2006,166000,"mt (meat weight only)","Meats >40mm height",54300,"1/2 PR x Recruits",108600,"YPR x Recruits (b), proxy",3.05999994277954,1.52999997138977,19800,NA,"Sea scallop","Northwestern Atlantic Coast"
"9","Sea scallop - Northwestern Atlantic Coast","NEFMC","Atlantic Sea Scallop","NEFSC","Northeast Shelf","Y",2010,7,2009,"Benchmark","Full acceptance","CASA",NA,"NEFSC","NEFSC CRD 10-09 (2010)","James Weinberg",3,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2009,0.377999991178513,"Annual Exploitation Rate","apical F (max F at age)",0.379999995231628,"Fmsy",0.379999995231628,"Direct estimate",0.995000004768372,0.995000004768372,NA,NA,NA,2009,129700,"mt (meat weight only)","Meats >40mm height",62679,"0.5*Bmsy",125358,"Direct Estimate",2.06900000572205,1.0349999666214,24975,NA,"Sea scallop","Northwestern Atlantic Coast"
"10","Sea scallop - Northwestern Atlantic Coast","NEFMC","Atlantic Sea Scallop","NEFSC","Northeast Shelf","Y",2014,8,2013,"Benchmark","Full acceptance","CASA",NA,"NEFSC","NEFSC CRD 14-07 (2014)  SAW/SARC59 Assessment Summary Report","James Weinberg",3,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2013,0.319999992847443,"Rate","apical F (max F at age)",0.479999989271164,"Fmsy",0.479999989271164,"Direct estimate",0.666999995708466,0.666999995708466,NA,NA,NA,2013,132561,"mt (meat weight only)","Meats >40mm height",48240,"0.5*Bmsy",96480,"Direct Estimate",2.74799990653992,1.37399995326996,23798,"mt","Sea scallop","Northwestern Atlantic Coast"
"11","Sea scallop - Northwestern Atlantic Coast","NEFMC","Atlantic Sea Scallop","NEFSC","Northeast Shelf","Y",2015,12,2015,"Partial Update","Full acceptance","CASA",NA,"NEFSC","Framework 27 to the Scallop FMP; Prepared by NEFSC staff on the NEFMC scallop PDT for the NEFMC.  March 14, 2016","James Weinberg",3,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2015,0.430000007152557,"Annual Exploitation Rate","apical F (max F at age)",0.479999989271164,"Fmsy",0.479999989271164,"Direct estimate",0.896000027656555,0.896000027656555,NA,NA,NA,2015,196728,"mt (meat weight only)","Spawning biomass",48240,"0.5*Bmsy",96480,"Direct Estimate",4.07800006866455,2.03900003433228,23798,NA,"Sea scallop","Northwestern Atlantic Coast"
"12","Sea scallop - Northwestern Atlantic Coast","NEFMC","Atlantic Sea Scallop","NEFSC","Northeast Shelf","Y",2018,8,2017,"Benchmark","Full acceptance","CASA",NA,"NEFSC","65th Northeast Regional SAW Assessment Summary Report. NEFSC CRD#18-08 (2018)","Deborah Hart",3,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2017,0.119999997317791,"Annual Exploitation Rate","apical F (max F at age)",0.639999985694885,"Fmsy",0.639999985694885,"Direct estimate",0.187999993562698,0.187999993562698,NA,NA,NA,2017,317334,"mt (meat weight only)","Total stock biomass",58383,"0.5*Bmsy",116766,"Direct Estimate",5.43499994277954,2.71799993515015,46531,"mt meat weight","Sea scallop","Northwestern Atlantic Coast"
"13","Red deepsea crab - Northwestern Atlantic","NEFMC","Deep-Sea Red Crab","NEFSC","Northeast Shelf","N",2006,7,2005,"Benchmark","Partial acceptance - Fishing mortality estimates","Survey Index & Landings",NA,"NEFSC & Bigelow Lab","NEFSC CRD 06-14 (2006)","Weinberg",2,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,2005,2013,"mt","Total Catch",NA,"total catch",2830,"total catch",NA,0.709999978542328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Red deepsea crab","Northwestern Atlantic"
