"","Species","Region","Indicator","category","Year","Value","rank","n_stocks_per_indicator","n_stocks_per_region","norm_rank","total_risk","overall_rank","overall_stocks","stock","label"
"1","Acadian redfish","Gulf of Maine / Georges Bank","bbmsy","Biological","2016",1.45200002193451,9,41,6,0.219512195121951,11.708051693244,45,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 11.71"
"2","Acadian redfish","Gulf of Maine / Georges Bank","ffmsy","Social","2016",0.275000005960464,9,36,6,0.25,11.708051693244,45,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 11.71"
"3","Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Social","1942",55892000,43,43,6,1,11.708051693244,45,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 11.71"
"4","Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Biological","mean of last 10 years vs historic mean",1.6774290512658,7,20,6,0.35,11.708051693244,45,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 11.71"
"5","Acadian redfish","Gulf of Maine / Georges Bank","abundance","Biological","mean of last 10 years vs historic mean",1.14047293665371,17,37,6,0.459459459459459,11.708051693244,45,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 11.71"
"6","Acadian redfish","Gulf of Maine / Georges Bank","biomass_fall","Biological","mean of last 10 years vs historic mean",2.13643978694223,17,51,6,0.333333333333333,11.708051693244,45,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 11.71"
"7","Acadian redfish","Gulf of Maine / Georges Bank","biomass_spring","Biological","mean of last 10 years vs historic mean",1.38822659685466,25,51,6,0.490196078431373,11.708051693244,45,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 11.71"
"8","Acadian redfish","Gulf of Maine / Georges Bank","avg_length_fall","Biological","mean of last 10 years vs historic mean",0.910874538235296,31,51,6,0.607843137254902,11.708051693244,45,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 11.71"
"9","Acadian redfish","Gulf of Maine / Georges Bank","avg_length_spring","Biological","mean of last 10 years vs historic mean",0.895198069790182,31,51,6,0.607843137254902,11.708051693244,45,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 11.71"
"10","Acadian redfish","Gulf of Maine / Georges Bank","max_length_fall","Biological","mean of last 10 years vs historic mean",0.971251742271857,27,51,6,0.529411764705882,11.708051693244,45,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 11.71"
"11","Acadian redfish","Gulf of Maine / Georges Bank","max_length_spring","Biological","mean of last 10 years vs historic mean",0.959142792104322,27,51,6,0.529411764705882,11.708051693244,45,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 11.71"
"12","Acadian redfish","Gulf of Maine / Georges Bank","diet","Biological","all",10,6,11,6,0.545454545454545,11.708051693244,45,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 11.71"
"13","Acadian redfish","Gulf of Maine / Georges Bank","rec_catch","Social","average of 2014 - 2019 data",889980,23,31,6,0.741935483870968,11.708051693244,45,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 11.71"
"14","Acadian redfish","Gulf of Maine / Georges Bank","com_catch_max","Social","1951",184370800,35,36,6,0.972222222222222,11.708051693244,45,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 11.71"
"15","Acadian redfish","Gulf of Maine / Georges Bank","com_catch_5yr","Social","average of 2014 - 2019 data",11626256,28,35,6,0.8,11.708051693244,45,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 11.71"
"16","Acadian redfish","Gulf of Maine / Georges Bank","com_catch_hist","Social","mean of last 10 years vs historic mean",0.13213336632006,29,34,6,0.805555555555556,11.708051693244,45,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 11.71"
"17","Acadian redfish","Gulf of Maine / Georges Bank","revenue_max","Social","1951",90234432.2878529,32,36,6,0.888888888888889,11.708051693244,45,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 11.71"
"18","Acadian redfish","Gulf of Maine / Georges Bank","revenue_5yr","Social","average of 2014 - 2019 data",6444372.58981606,27,35,6,0.771428571428571,11.708051693244,45,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 11.71"
"19","Acadian redfish","Gulf of Maine / Georges Bank","revenue_hist","Social","mean of last 10 years vs historic mean",0.194982996132547,29,34,6,0.805555555555556,11.708051693244,45,53,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 11.71"
"20","American plaice","Gulf of Maine / Georges Bank","bbmsy","Biological","2016",0.989000022411346,16,41,6,0.390243902439024,11.5894390558065,42,53,"American plaice - Gulf of Maine / Georges Bank","American plaice, 11.59"
"21","American plaice","Gulf of Maine / Georges Bank","ffmsy","Social","2016",0.504999995231628,18,36,6,0.5,11.5894390558065,42,53,"American plaice - Gulf of Maine / Georges Bank","American plaice, 11.59"
"22","American plaice","Gulf of Maine / Georges Bank","asmt_catch","Social","1982",15570,22,43,6,0.511627906976744,11.5894390558065,42,53,"American plaice - Gulf of Maine / Georges Bank","American plaice, 11.59"
"23","American plaice","Gulf of Maine / Georges Bank","recruitment","Biological","mean of last 10 years vs historic mean",0.500412754874886,16,20,6,0.8,11.5894390558065,42,53,"American plaice - Gulf of Maine / Georges Bank","American plaice, 11.59"
"24","American plaice","Gulf of Maine / Georges Bank","abundance","Biological","mean of last 10 years vs historic mean",0.901981091169409,24,37,6,0.648648648648649,11.5894390558065,42,53,"American plaice - Gulf of Maine / Georges Bank","American plaice, 11.59"
"25","American plaice","Gulf of Maine / Georges Bank","biomass_fall","Biological","mean of last 10 years vs historic mean",1.29420106798687,33,51,6,0.647058823529412,11.5894390558065,42,53,"American plaice - Gulf of Maine / Georges Bank","American plaice, 11.59"
"26","American plaice","Gulf of Maine / Georges Bank","biomass_spring","Biological","mean of last 10 years vs historic mean",1.11731577935131,30,51,6,0.588235294117647,11.5894390558065,42,53,"American plaice - Gulf of Maine / Georges Bank","American plaice, 11.59"
"27","American plaice","Gulf of Maine / Georges Bank","avg_length_fall","Biological","mean of last 10 years vs historic mean",0.890753561520575,39,51,6,0.764705882352941,11.5894390558065,42,53,"American plaice - Gulf of Maine / Georges Bank","American plaice, 11.59"
"28","American plaice","Gulf of Maine / Georges Bank","avg_length_spring","Biological","mean of last 10 years vs historic mean",0.933985057435695,25,51,6,0.490196078431373,11.5894390558065,42,53,"American plaice - Gulf of Maine / Georges Bank","American plaice, 11.59"
"29","American plaice","Gulf of Maine / Georges Bank","max_length_fall","Biological","mean of last 10 years vs historic mean",0.902906487919489,40,51,6,0.784313725490196,11.5894390558065,42,53,"American plaice - Gulf of Maine / Georges Bank","American plaice, 11.59"
"30","American plaice","Gulf of Maine / Georges Bank","max_length_spring","Biological","mean of last 10 years vs historic mean",0.946215496667139,31,51,6,0.607843137254902,11.5894390558065,42,53,"American plaice - Gulf of Maine / Georges Bank","American plaice, 11.59"
"31","American plaice","Gulf of Maine / Georges Bank","diet","Biological","all",10,6,11,6,0.545454545454545,11.5894390558065,42,53,"American plaice - Gulf of Maine / Georges Bank","American plaice, 11.59"
"32","American plaice","Gulf of Maine / Georges Bank","rec_catch","Social",NA,NA,NA,NA,6,0.5,11.5894390558065,42,53,"American plaice - Gulf of Maine / Georges Bank","American plaice, 11.59"
"33","American plaice","Gulf of Maine / Georges Bank","com_catch_max","Social","1982",16032400,23,36,6,0.638888888888889,11.5894390558065,42,53,"American plaice - Gulf of Maine / Georges Bank","American plaice, 11.59"
"34","American plaice","Gulf of Maine / Georges Bank","com_catch_5yr","Social","average of 2014 - 2019 data",2280957,18,35,6,0.514285714285714,11.5894390558065,42,53,"American plaice - Gulf of Maine / Georges Bank","American plaice, 11.59"
"35","American plaice","Gulf of Maine / Georges Bank","com_catch_hist","Social","mean of last 10 years vs historic mean",0.306400531840511,23,34,6,0.638888888888889,11.5894390558065,42,53,"American plaice - Gulf of Maine / Georges Bank","American plaice, 11.59"
"36","American plaice","Gulf of Maine / Georges Bank","revenue_max","Social","1985",20755317.3864103,25,36,6,0.694444444444444,11.5894390558065,42,53,"American plaice - Gulf of Maine / Georges Bank","American plaice, 11.59"
"37","American plaice","Gulf of Maine / Georges Bank","revenue_5yr","Social","average of 2014 - 2019 data",5548548.53235881,24,35,6,0.685714285714286,11.5894390558065,42,53,"American plaice - Gulf of Maine / Georges Bank","American plaice, 11.59"
