Sci_name,SVSPP,Com_name
UNIDENTIFIED FISH,0,UNCLASSIFIED FISH
MYXINE GLUTINOSA,1,ATLANTIC HAGFISH
PETROMYZON MARINUS,2,SEA LAMPREY
CARCHARHINUS OBSCURUS,3,DUSKY SHARK
DASYATIS CENTROURA,4,ROUGHTAIL STINGRAY
RAJIFORMES,5,RAY AND SKATE UNCL
CETORHINUS MAXIMUS,6,BASKING SHARK
CENTROSCYLLIUM FABRICII,7,BLACK DOGFISH
ETMOPTERUS PRINCEPS,8,ROUGH SAGRE
CARCHARHINUS PLUMBEUS,9,SANDBAR SHARK
SELACHIMORPHA,11,SHARK UNCL
CARCHARIAS TAURUS,12,SAND TIGER
MUSTELUS CANIS,13,SMOOTH DOGFISH
SCYLIORHINUS RETIFER,14,CHAIN DOGFISH
SQUALUS ACANTHIAS,15,SPINY DOGFISH
SQUATINA DUMERIL,16,ATLANTIC ANGEL SHARK
PRIONACE GLAUCA,17,BLUE SHARK
DASYATIS SAY,18,BLUNTNOSE STINGRAY
MYLIOBATIS FREMINVILLEI,19,BULLNOSE RAY
RAJA ,20,OCELLATE SKATES
TORPEDO NOBILIANA,21,ATLANTIC TORPEDO
DIPTURUS LAEVIS,22,BARNDOOR SKATE
LEUCORAJA OCELLATA,23,WINTER SKATE
RAJA EGLANTERIA,24,CLEARNOSE SKATE
LEUCORAJA GARMANI,25,ROSETTE SKATE
LEUCORAJA ERINACEA,26,LITTLE SKATE
MALACORAJA SENTA,27,SMOOTH SKATE
AMBLYRAJA RADIATA,28,THORNY SKATE
DASYATIS AMERICANA,29,SOUTHERN STINGRAY
CLUPEIDAE,30,HERRING UNCL
ETRUMEUS TERES,31,ROUND HERRING
CLUPEA HARENGUS,32,ATLANTIC HERRING
ALOSA PSEUDOHARENGUS,33,ALEWIFE
ALOSA AESTIVALIS,34,BLUEBACK HERRING
ALOSA SAPIDISSIMA,35,AMERICAN SHAD
BREVOORTIA TYRANNUS,36,ATLANTIC MENHADEN
ALOSA MEDIOCRIS,37,HICKORY SHAD
MALLOTUS VILLOSUS,38,CAPELIN
ALEPOCEPHALIDAE ,39,SLICKHEADS
ANCHOA MITCHILLI,43,BAY ANCHOVY
ANCHOA HEPSETUS,44,STRIPED ANCHOVY
OSMERUS MORDAX,45,RAINBOW SMELT
ARGENTINA SILUS,46,ATLANTIC ARGENTINE
CHLOROPHTHALMIDAE,47,GREENEYE UNCL
BENTHOSEMA GLACIALE,51,GLACIER LANTERNFISH
LAMPANYCTUS ,52,MADEIRA LANTERNFISH
CERATOSCOPELUS MADERENSIS,54,HORNED LANTERNFISH
MYCTOPHUM PUNCTATUM,55,SPOTTED LANTERNFISH
MYCTOPHIDAE,56,LANTERNFISH UNCL
HYGOPHUM TAANINGI,57,NA
NOTOSCOPELUS RESPLENDENS,58,PATCHWORK LAMPFISH
GONICHTHYS COCCOI,59,NA
ANGUILLIFORMES,60,EEL UNCL
DIAPHUS ,61,HEADLIGHTFISH UNCL
CONGER OCEANICUS,63,CONGER EEL
SIMENCHELYS PARASITICA ,64,SNUBNOSE EEL
OPHICHTHUS CRUENTIFER,65,MARGINED SNAKE EEL
HYPORHAMPHUS UNIFASCIATUS,66,SILVERSTRIPE HALFBEAK
NEMICHTHYS SCOLOPACEUS,67,SLENDER SNIPE EEL
ABLENNES HIANS,68,FLAT NEEDLEFISH
MERLUCCIUS ALBIDUS,69,OFFSHORE HAKE
GADELLA IMBERBIS,70,BEARDLESS CODLING
MERLUCCIUS BILINEARIS,72,SILVER HAKE
GADUS MORHUA,73,ATLANTIC COD
MELANOGRAMMUS AEGLEFINUS,74,HADDOCK
POLLACHIUS VIRENS,75,POLLOCK
UROPHYCIS TENUIS,76,WHITE HAKE
UROPHYCIS CHUSS,77,RED HAKE
UROPHYCIS REGIA,78,SPOTTED HAKE
UROPHYCIS CHESTERI,79,LONGFIN HAKE
GADIDAE,80,HAKE UNCL
ANTIMORA ROSTRATA,81,BLUE HAKE
PHYSICULUS FULVUS,82,METALLIC CODLING
ENCHELYOPUS CIMBRIUS,83,FOURBEARD ROCKLING
BROSME BROSME,84,CUSK
GAIDROPSARUS ENSIS,85,THREEBEARD ROCKLING
MERLUCCIUS ,86,HAKES
UROPHYCIS ,87,CODLINGS
MORIDAE,88,MORA UNCL
MACROURIDAE,90,GRENADIER UNCL
NEZUMIA BAIRDII ,91,MARLIN-SPIKE
MACROURUS BERGLAX,92,ROUGHHEAD GRENADIER
CAELORINCHUS CAELORHINCUS CARMINATUS ,93,LONGNOSE GRENADIER
POECILOPSETTA BEANI,98,DEEPWATER DAB
REINHARDTIUS HIPPOGLOSSOIDES,99,GREENLAND HALIBUT
PLEURONECTIFORMES,100,FLOUNDER UNCL
HIPPOGLOSSUS HIPPOGLOSSUS,101,ATLANTIC HALIBUT
HIPPOGLOSSOIDES PLATESSOIDES,102,AMERICAN PLAICE
PARALICHTHYS DENTATUS,103,SUMMER FLOUNDER
PARALICHTHYS OBLONGUS,104,FOURSPOT FLOUNDER
LIMANDA FERRUGINEA ,105,YELLOWTAIL FLOUNDER
PSEUDOPLEURONECTES AMERICANUS ,106,WINTER FLOUNDER
GLYPTOCEPHALUS CYNOGLOSSUS,107,WITCH FLOUNDER
SCOPHTHALMUS AQUOSUS,108,WINDOWPANE
CITHARICHTHYS ARCTIFRONS,109,GULF STREAM FLOUNDER
MONOLENE SESSILICAUDA,110,DEEPWATER FLOUNDER
MACRORHAMPHOSUS SCOLOPAX,111,LONGSPINE SNIPEFISH
ZENOPSIS CONCHIFERA,112,BUCKLER DORY
MENIDIA MENIDIA,113,ATLANTIC SILVERSIDE
SYNAGROPS BELLUS,114,BLACKMOUTH BASS
GASTEROSTEUS ACULEATUS,115,THREESPINE STICKLEBACK
SYNGNATHUS FUSCUS,116,NORTHERN PIPEFISH
ETROPUS MICROSTOMUS,117,SMALLMOUTH FLOUNDER
TRINECTES MACULATUS,118,HOGCHOKER
AULOSTOMUS MACULATUS,119,TRUMPETFISH
FISTULARIA TABACARIA,120,BLUESPOTTED CORNETFISH
SCOMBER SCOMBRUS,121,ATLANTIC MACKEREL
SARDA SARDA,123,ATLANTIC BONITO
SCOMBER JAPONICUS,124,CHUB MACKEREL
ACANTHOCYBIUM SOLANDRI,125,WAHOO
TRICHIURUS LEPTURUS,126,ATLANTIC CUTLASSFISH
PROMETHICHTHYS PROMETHEUS,127,CONEJO
KATSUWONUS PELAMIS,128,SKIPJACK TUNA
CARANX CRYSOS,129,BLUE RUNNER
TARACTICHTHYS LONGIPINNIS ,130,BIGSCALE POMFRET
PEPRILUS TRIACANTHUS,131,BUTTERFISH
SELENE SETAPINNIS,132,ATLANTIC MOONFISH
SELENE VOMER,133,LOOKDOWN
PRIACANTHUS ARENATUS,134,BIGEYE
POMATOMUS SALTATRIX,135,BLUEFISH
MICROPOGONIAS UNDULATUS,136,ATLANTIC CROAKER
SYNAGROPS SPINOSUS,137,KEELCHEEK BASS
APOGONIDAE,138,CARDINALFISH UNCL
MORONE SAXATILIS,139,STRIPED BASS
MORONE AMERICANA,140,WHITE PERCH
CENTROPRISTIS STRIATA,141,BLACK SEA BASS
ORTHOPRISTIS CHRYSOPTERA,142,PIGFISH
STENOTOMUS CHRYSOPS,143,SCUP
EPIGONUS PANDIONIS,144,NA
CYNOSCION REGALIS,145,WEAKFISH
MENTICIRRHUS SAXATILIS,146,NORTHERN KINGFISH
POGONIAS CROMIS,147,BLACK DRUM
BAIRDIELLA CHRYSOURA,148,SILVER PERCH
LEIOSTOMUS XANTHURUS,149,SPOT
HOWELLA SHERBORNI ,150,SHERBORN'S CARDINALFISH
LOPHOLATILUS CHAMAELEONTICEPS,151,TILEFISH
PONTINUS LONGISPINIS,154,LONGSPINE SCORPIONFISH
SEBASTES FASCIATUS,155,ACADIAN REDFISH
HELICOLENUS DACTYLOPTERUS,156,BLACKBELLY ROSEFISH
ANTIGONIA CAPROS,158,DEEPBODY BOARFISH
ARTEDIELLUS ,159,HOOKEAR SCULPINS
COTTIDAE,160,SCULPIN UNCL
TRIGLOPS MURRAYI,161,MOUSTACHE SCULPIN
MYOXOCEPHALUS SCORPIUS,162,SHORTHORN SCULPIN
MYOXOCEPHALUS OCTODECEMSPINOSUS,163,LONGHORN SCULPIN
HEMITRIPTERUS AMERICANUS,164,SEA RAVEN
ASPIDOPHOROIDES MONOPTERYGIUS,165,ALLIGATORFISH
MYOXOCEPHALUS AENAEUS,166,GRUBBY
LIPARIS INQUILINUS,167,INQUILINE SNAILFISH
CYCLOPTERUS LUMPUS,168,LUMPFISH
EUMICROTREMUS SPINOSUS,169,ATLANTIC SPINY LUMPSUCKER
LIPARIS ATLANTICUS,170,ATLANTIC SEASNAIL
PRIONOTUS CAROLINUS,171,NORTHERN SEAROBIN
PRIONOTUS EVOLANS,172,STRIPED SEAROBIN
