"","Species","Region","Value","Year_measured","Indicator","rank","norm_rank","stock","total_risk"
"1","Atlantic herring","Northwestern Atlantic Coast",0.882000029087067,2017,"ffmsy",16,0.761904761904762,"Atlantic herring
Northwestern Atlantic Coast",1.32712215320911
"2","American plaice","Gulf of Maine / Georges Bank",0.504999995231628,2016,"ffmsy",13,0.619047619047619,"American plaice
Gulf of Maine / Georges Bank",0.966873706004141
"3","Atlantic cod","Eastern Georges Bank",0.455000013113022,2015,"ffmsy",12,0.571428571428571,"Atlantic cod
Eastern Georges Bank",0.571428571428571
"4","Atlantic cod","Georges Bank",2.38899993896484,2011,"ffmsy",19,0.904761904761905,"Atlantic cod
Georges Bank",0.904761904761905
"5","Atlantic cod","Gulf of Maine",5.69999980926514,2010,"ffmsy",21,1,"Atlantic cod
Gulf of Maine",1
"6","Atlantic halibut","Northwestern Atlantic Coast",0.437999993562698,2010,"ffmsy",11,0.523809523809524,"Atlantic halibut
Northwestern Atlantic Coast",0.523809523809524
"7","Atlantic wolffish","Gulf of Maine / Georges Bank",0.00899999961256981,2016,"ffmsy",1,0.0476190476190476,"Atlantic wolffish
Gulf of Maine / Georges Bank",0.786749482401656
"8","Haddock","Eastern Georges Bank",0.384999990463257,2016,"ffmsy",10,0.476190476190476,"Haddock
Eastern Georges Bank",0.476190476190476
"9","Ocean pout","Northwestern Atlantic Coast",0.291000008583069,2016,"ffmsy",8,0.380952380952381,"Ocean pout
Northwestern Atlantic Coast",1.33747412008282
"10","Pollock","Gulf of Maine / Georges Bank",0.137999996542931,2016,"ffmsy",3,0.142857142857143,"Pollock
Gulf of Maine / Georges Bank",0.273291925465838
"11","Red hake","Gulf of Maine / Northern Georges Bank",0.551999986171722,2016,"ffmsy",14,0.666666666666667,"Red hake
Gulf of Maine / Northern Georges Bank",0.753623188405797
"12","Red hake","Southern Georges Bank / Mid-Atlantic",1.35899996757507,2016,"ffmsy",18,0.857142857142857,"Red hake
Southern Georges Bank / Mid-Atlantic",1.63975155279503
"13","Silver hake","Gulf of Maine / Northern Georges Bank",0.0540000014007092,2016,"ffmsy",2,0.0952380952380952,"Silver hake
Gulf of Maine / Northern Georges Bank",0.13871635610766
"14","Silver hake","Southern Georges Bank / Mid-Atlantic",0.171000003814697,2016,"ffmsy",4,0.19047619047619,"Silver hake
Southern Georges Bank / Mid-Atlantic",0.842650103519669
"15","Windowpane","Gulf of Maine / Georges Bank",0.652999997138977,2016,"ffmsy",15,0.714285714285714,"Windowpane
Gulf of Maine / Georges Bank",1.54037267080745
"16","Windowpane","Southern New England / Mid-Atlantic",0.902999997138977,2016,"ffmsy",17,0.80952380952381,"Windowpane
Southern New England / Mid-Atlantic",0.98343685300207
"17","Winter flounder","Georges Bank",0.224999994039536,2016,"ffmsy",6,0.285714285714286,"Winter flounder
Georges Bank",0.981366459627329
