"Species","Error","File throwing error","Chunk name","Line throwing error"
"Acadian redfish","Error : 'na.omit' is not an exported object from 'namespace:data.table'
","catch-rec.Rmd","sp-if-data-is-poor","99"
"Alewife","Error : 'na.omit' is not an exported object from 'namespace:data.table'
","catch-rec.Rmd","sp-if-data-is-poor","99"
"Atlantic cod","Error : 'na.omit' is not an exported object from 'namespace:data.table'
","catch-rec.Rmd","sp-if-data-is-poor","99"
"Atlantic halibut","Error : 'na.omit' is not an exported object from 'namespace:data.table'
","catch-rec.Rmd","sp-if-data-is-poor","99"
"Atlantic herring","Error : 'na.omit' is not an exported object from 'namespace:data.table'
","catch-rec.Rmd","sp-if-data-is-poor","99"
"Atlantic mackerel","Error : 'na.omit' is not an exported object from 'namespace:data.table'
","catch-rec.Rmd","sp-if-data-is-poor","99"
"Atlantic wolffish","Error : 'na.omit' is not an exported object from 'namespace:data.table'
","catch-rec.Rmd","sp-if-data-is-poor","99"
"Barndoor skate","Error : 'na.omit' is not an exported object from 'namespace:data.table'
","catch-rec.Rmd","sp-if-data-is-poor","99"
"Black sea bass","Error : 'na.omit' is not an exported object from 'namespace:data.table'
","catch-rec.Rmd","sp-if-data-is-poor","99"
"Bluefish","Error : 'na.omit' is not an exported object from 'namespace:data.table'
","catch-rec.Rmd","sp-if-data-is-poor","99"
"Blueback herring","Error : 'na.omit' is not an exported object from 'namespace:data.table'
","catch-rec.Rmd","sp-if-data-is-poor","99"
"Butterfish","Error : 'na.omit' is not an exported object from 'namespace:data.table'
","catch-rec.Rmd","sp-if-data-is-poor","99"
"Clearnose skate","Error : 'na.omit' is not an exported object from 'namespace:data.table'
","catch-rec.Rmd","sp-if-data-is-poor","99"
"Haddock","Error : 'na.omit' is not an exported object from 'namespace:data.table'
","catch-rec.Rmd","sp-if-data-is-poor","99"
"Little skate","Error : 'na.omit' is not an exported object from 'namespace:data.table'
","catch-rec.Rmd","sp-if-data-is-poor","99"
"Monkfish","Error : 'na.omit' is not an exported object from 'namespace:data.table'
","catch-rec.Rmd","sp-if-data-is-poor","99"
"Ocean pout","Error : 'na.omit' is not an exported object from 'namespace:data.table'
","catch-rec.Rmd","sp-if-data-is-poor","99"
"Pollock","Error : 'na.omit' is not an exported object from 'namespace:data.table'
","catch-rec.Rmd","sp-if-data-is-poor","99"
"Red hake","Error : 'na.omit' is not an exported object from 'namespace:data.table'
","catch-rec.Rmd","sp-if-data-is-poor","99"
"Rosette skate","Error in mapply(make_multiplier, from_input = from_date, to_input = to_date) : 
  zero-length inputs cannot be mixed with those of non-zero length
","revenue.Rmd","inflation-adjusted-price-history","11, 31, 48, 69"
"Scup","Error : 'na.omit' is not an exported object from 'namespace:data.table'
","catch-rec.Rmd","sp-if-data-is-poor","99"
"Silver hake","Error : 'na.omit' is not an exported object from 'namespace:data.table'
","catch-rec.Rmd","sp-if-data-is-poor","99"
"Smooth dogfish","Error : 'na.omit' is not an exported object from 'namespace:data.table'
","catch-rec.Rmd","sp-if-data-is-poor","99"
"Smooth skate","Error : 'na.omit' is not an exported object from 'namespace:data.table'
","catch-rec.Rmd","sp-if-data-is-poor","99"
"Spiny dogfish","Error : 'na.omit' is not an exported object from 'namespace:data.table'
","catch-rec.Rmd","sp-if-data-is-poor","99"
"Summer flounder","Error : 'na.omit' is not an exported object from 'namespace:data.table'
","catch-rec.Rmd","sp-if-data-is-poor","99"
"Thorny skate","Error : 'na.omit' is not an exported object from 'namespace:data.table'
","catch-rec.Rmd","sp-if-data-is-poor","99"
"White hake","Error : 'na.omit' is not an exported object from 'namespace:data.table'
","catch-rec.Rmd","sp-if-data-is-poor","99"
"Windowpane","Error : 'na.omit' is not an exported object from 'namespace:data.table'
","catch-rec.Rmd","sp-if-data-is-poor","99"
"Winter flounder","Error : 'na.omit' is not an exported object from 'namespace:data.table'
","catch-rec.Rmd","sp-if-data-is-poor","99"
"Winter skate","Error : 'na.omit' is not an exported object from 'namespace:data.table'
","catch-rec.Rmd","sp-if-data-is-poor","99"
"Yellowtail flounder","Error : 'na.omit' is not an exported object from 'namespace:data.table'
","catch-rec.Rmd","sp-if-data-is-poor","99"
